city,FIPS
Birmingham,1073
Jacksonville,12031
Indianapolis,18097
Louisville,21111
Grand Rapids,26081
Kansas City,29095
St. Louis,29189
St. Louis,29510
Omaha,31055
Greensboro,37081
Charlotte,37119
Raleigh,37183
Columbus,39049
Cincinnati,39061
Dayton,39113
Oklahoma City,40109
Tulsa,40143
Greenville,45045
Nashville,47037
Knoxville,47093
Memphis,47157
Richmond,51760
