population,FIPS,year
217185,51760,2014
660087,1073,2015
911626,12031,2015
940235,18097,2015
764341,21111,2015
636508,26081,2015
687182,29095,2015
1001127,29189,2015
316257,29510,2015
549919,31055,2015
517722,37081,2015
1034442,37119,2015
1023859,37183,2015
1253674,39049,2015
808405,39061,2015
531293,39113,2015
776643,40109,2015
639892,40143,2015
490816,45045,2015
681285,47037,2015
451321,47093,2015
937885,47157,2015
220943,51760,2015
659747,1073,2016
926380,12031,2016
944034,18097,2016
767335,21111,2016
642909,26081,2016
693115,29095,2016
998216,29189,2016
313144,29510,2016
555894,31055,2016
521996,37081,2016
1057237,37119,2016
1049143,37183,2016
1269998,39049,2016
810087,39061,2016
531395,39113,2016
784208,40109,2016
645042,40143,2016
499034,45045,2016
688901,47037,2016
456114,47093,2016
937130,47157,2016
225288,51760,2016
659197,1073,2017
937934,12031,2017
950082,18097,2017
771158,21111,2017
648594,26081,2017
698895,29095,2017
996726,29189,2017
308626,29510,2017
561620,31055,2017
526953,37081,2017
1076837,37119,2017
1072203,37183,2017
1291981,39049,2017
813822,39061,2017
531542,39113,2017
787958,40109,2017
646266,40143,2017
506837,45045,2017
691243,47037,2017
461860,47093,2017
936961,47157,2017
227032,51760,2017
659197,1073,2018
937934,12031,2018
950082,18097,2018
771158,21111,2018
648594,26081,2018
698895,29095,2018
996726,29189,2018
308626,29510,2018
561620,31055,2018
526953,37081,2018
1076837,37119,2018
1072203,37183,2018
1291981,39049,2018
813822,39061,2018
531542,39113,2018
787958,40109,2018
646266,40143,2018
506837,45045,2018
691243,47037,2018
461860,47093,2018
936961,47157,2018
227032,51760,2018
