MSA Code,MSA Title,State FIPS Code,State Name,2000 PUMA Code,MSA 2010 Population,2000 PUMA Est. 2010 Population*,Intersection Est. 2010 Population*,Percent MSA Population,Percent PUMA Population
16940,"Cheyenne, WY",56,Wyoming,400,"91,738","128,037","91,738",100,71.65
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,2600,"9,461,105","141,191","105,160",1.11,74.48
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3001,"9,461,105","120,828","120,828",1.28,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3002,"9,461,105","141,503","141,503",1.5,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3003,"9,461,105","165,089","165,089",1.74,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3004,"9,461,105","129,503","129,503",1.37,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3005,"9,461,105","146,149","146,149",1.54,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3006,"9,461,105","235,600","235,600",2.49,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3101,"9,461,105","148,257","148,257",1.57,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3102,"9,461,105","133,482","133,482",1.41,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3103,"9,461,105","196,394","196,394",2.08,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3104,"9,461,105","249,583","249,583",2.64,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3201,"9,461,105","212,834","212,834",2.25,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3202,"9,461,105","117,067","117,067",1.24,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3203,"9,461,105","116,268","116,268",1.23,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3204,"9,461,105","146,795","146,795",1.55,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3205,"9,461,105","123,449","123,449",1.3,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3206,"9,461,105","200,511","200,511",2.12,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3301,"9,461,105","104,268","104,268",1.1,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3302,"9,461,105","134,243","134,243",1.42,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3303,"9,461,105","231,190","231,190",2.44,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3304,"9,461,105","124,012","124,012",1.31,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3305,"9,461,105","109,749","109,749",1.16,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3401,"9,461,105","126,645","126,645",1.34,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3402,"9,461,105","230,826","230,826",2.44,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3403,"9,461,105","248,520","248,520",2.63,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3404,"9,461,105","222,477","222,477",2.35,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3405,"9,461,105","235,835","235,835",2.49,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3406,"9,461,105","117,566","117,566",1.24,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3407,"9,461,105","178,470","178,470",1.89,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3408,"9,461,105","192,426","192,426",2.03,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3409,"9,461,105","152,460","152,460",1.61,100
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,3410,"9,461,105","173,605","173,605",1.83,100
