79808017797790010007500198153             0384002407778            133       66Atwood CDP                                                                                                                                                                 
79908017797790010007500198153             0384002407778966000      133       66Census Tract 9660 (part)                                                                                                                                                   
79808017797790010007500198153             1864002412389            110       76Crook town                                                                                                                                                                 
79908017797790010007500198153             1864002412389965900      110       76Census Tract 9659 (part)                                                                                                                                                   
79808017797790010007500198153             2687502412631            408      204Fleming town                                                                                                                                                               
79908017797790010007500198153             2687502412631966400      408      204Census Tract 9664 (part)                                                                                                                                                   
79808017797790010007500198153             3859002412788            266      128Iliff town                                                                                                                                                                 
79908017797790010007500198153             3859002412788966000      266      128Census Tract 9660 (part)                                                                                                                                                   
79808017797790010007500198153             5004002412985            284      120Merino town                                                                                                                                                                
79908017797790010007500198153             5004002412985966000      284      120Census Tract 9660 (part)                                                                                                                                                   
79808017797790010007500198153             5669502409014             76       46Padroni CDP                                                                                                                                                                
79908017797790010007500198153             5669502409014966000       76       46Census Tract 9660 (part)                                                                                                                                                   
79808017797790010007500198153             5823502413123            238      106Peetz town                                                                                                                                                                 
79908017797790010007500198153             5823502413123965900      238      106Census Tract 9659 (part)                                                                                                                                                   
79808017797790010007500198153             7393502411978          14777     5404Sterling city                                                                                                                                                              
79908017797790010007500198153             7393502411978966100     4781     2148Census Tract 9661 (part)                                                                                                                                                   
79908017797790010007500198153             7393502411978966200     3042     1466Census Tract 9662 (part)                                                                                                                                                   
79908017797790010007500198153             7393502411978966300     3688     1764Census Tract 9663 (part)                                                                                                                                                   
79908017797790010007500198153             7393502411978966400     3266       26Census Tract 9664 (part)                                                                                                                                                   
79808017797790010007500198153             9999999999999           6417     2831Remainder of Logan County                                                                                                                                                  
79908017797790010007500198153             9999999999999965900      742      380Census Tract 9659 (part)                                                                                                                                                   
79908017797790010007500198153             9999999999999966000     1489      660Census Tract 9660 (part)                                                                                                                                                   
79908017797790010007500198153             9999999999999966100     2567     1071Census Tract 9661 (part)                                                                                                                                                   
79908017797790010007500198153             9999999999999966200       69       38Census Tract 9662 (part)                                                                                                                                                   
