79840011028570010004101101808             0961202407912             35       13Brush Creek CDP                                                                                                                                                            
79940011028570010004101101808             0961202407912376000       35       13Census Tract 3760 (part)                                                                                                                                                   
79840011028570010004101101808             0988702407920             67       28Bull Hollow CDP                                                                                                                                                            
79940011028570010004101101808             0988702407920376100       67       28Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             1046002584376            117       56Butler CDP                                                                                                                                                                 
79940011028570010004101101808             1046002584376375601      117       56Census Tract 3756.01 (part)                                                                                                                                                
79840011028570010004101101808             1291502407995            140       74Cayuga CDP                                                                                                                                                                 
79940011028570010004101101808             1291502407995375602      140       74Census Tract 3756.02 (part)                                                                                                                                                
79840011028570010004101101808             1525002407633           1463     1658Cleora CDP                                                                                                                                                                 
79940011028570010004101101808             1525002407633375801     1463     1658Census Tract 3758.01 (part)                                                                                                                                                
79840011028570010004101101808             1562502407638            121       43Cloud Creek CDP                                                                                                                                                            
79940011028570010004101101808             1562502407638376100      121       43Census Tract 3761 (part)                                                                                                                                                   
79840011028570010004101101808             1610002413224            815      315Colcord town                                                                                                                                                               
79940011028570010004101101808             1610002413224976200      815      315Census Tract 9762 (part)                                                                                                                                                   
79840011028570010004101101808             1711002407657           1629     1021Copeland CDP                                                                                                                                                               
79940011028570010004101101808             1711002407657375802     1629     1021Census Tract 3758.02 (part)                                                                                                                                                
79840011028570010004101101808             1966502584377             46       16Deer Lick CDP                                                                                                                                                              
79940011028570010004101101808             1966502584377376000       46       16Census Tract 3760 (part)                                                                                                                                                   
79840011028570010004101101808             2010002408659            195      255Dennis CDP                                                                                                                                                                 
79940011028570010004101101808             2010002408659375900      195      255Census Tract 3759 (part)                                                                                                                                                   
79840011028570010004101101808             2102002408676            115       49Dodge CDP                                                                                                                                                                  
79940011028570010004101101808             2102002408676375601       58       27Census Tract 3756.01 (part)                                                                                                                                                
79940011028570010004101101808             2102002408676375602       57       22Census Tract 3756.02 (part)                                                                                                                                                
79840011028570010004101101808             2167202408689             50       18Dripping Springs CDP                                                                                                                                                       
79940011028570010004101101808             2167202408689976200       50       18Census Tract 9762 (part)                                                                                                                                                   
79840011028570010004101101808             2167602584378            155      399Drowning Creek CDP                                                                                                                                                         
79940011028570010004101101808             2167602584378375900      155      399Census Tract 3759 (part)                                                                                                                                                   
