79902017855330010202001416061             0300002419025002501     4993     1995Census Tract 25.01                                                                                                                                                         
79902017855330010202001416061             0300002419025002502     5236     2437Census Tract 25.02                                                                                                                                                         
79902017855330010202001416061             0300002419025002601     4784     1746Census Tract 26.01                                                                                                                                                         
79902017855330010202001416061             0300002419025002602     5805     2063Census Tract 26.02                                                                                                                                                         
79902017855330010202001416061             0300002419025002603     6341     2147Census Tract 26.03                                                                                                                                                         
79902017855330010202001416061             0300002419025002702     9670     3602Census Tract 27.02                                                                                                                                                         
79902017855330010202001416061             0300002419025002711     6589     2497Census Tract 27.11                                                                                                                                                         
79902017855330010202001416061             0300002419025002712     9068     3430Census Tract 27.12                                                                                                                                                         
79902017855330010202001416061             0300002419025002811     6313     2690Census Tract 28.11                                                                                                                                                         
79902017855330010202001416061             0300002419025002812     7166     2488Census Tract 28.12                                                                                                                                                         
79902017855330010202001416061             0300002419025002813     4579     1729Census Tract 28.13                                                                                                                                                         
79902017855330010202001416061             0300002419025002821     5050     1666Census Tract 28.21                                                                                                                                                         
79902017855330010202001416061             0300002419025002822     4020     1480Census Tract 28.22                                                                                                                                                         
79902017855330010202001416061             0300002419025002823     5217     1904Census Tract 28.23                                                                                                                                                         
79902017855330010202001416061             0300002419025002900     2570     1859Census Tract 29                                                                                                                                                            
795020178553300200                                              144395    71907Matanuska-Susitna & Kenai Peninsula Boroughs PUMA                                                                                                                          
79602017855330020012201419972                                    55400    30578Kenai Peninsula Borough                                                                                                                                                    
79802017855330020012201419972             0311002418770           1930     1239Anchor Point CDP                                                                                                                                                           
79902017855330020012201419972             0311002418770000800     1930     1239Census Tract 8 (part)                                                                                                                                                      
79802017855330020012201419972             0558502418785           1956     1020Bear Creek CDP                                                                                                                                                             
79902017855330020012201419972             0558502418785001300     1956     1020Census Tract 13 (part)                                                                                                                                                     
79802017855330020012201419972             0624502418789             20       53Beluga CDP                                                                                                                                                                 
79902017855330020012201419972             0624502418789000100       20       53Census Tract 1 (part)                                                                                                                                                      
79802017855330020012201419972             1532002418838            176      160Clam Gulch CDP                                                                                                                                                             
79902017855330020012201419972             1532002418838000700      176      160Census Tract 7 (part)                                                                                                                                                      
