79913017053170010019100356886             2171602404188110300     1817     1017Census Tract 1103 (part)                                                                                                                                                   
79813017053170010019100356886             9999999999999          12358     8130Remainder of McIntosh County                                                                                                                                               
79913017053170010019100356886             9999999999999110100     4432     3672Census Tract 1101                                                                                                                                                          
79913017053170010019100356886             9999999999999110200     5548     3234Census Tract 1102 (part)                                                                                                                                                   
79913017053170010019100356886             9999999999999110300     2378     1224Census Tract 1103 (part)                                                                                                                                                   
79913017053170010019100356886             9999999999999980000        0        0Census Tract 9800                                                                                                                                                          
79913017053170010019100356886             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
795130170531700200                                              108150    44612Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA                                                                                                    
79613017053170020002900350496                                    30233    11842Bryan County                                                                                                                                                               
79813017053170020002900350496             6000402404501           2196     1006Pembroke city                                                                                                                                                              
79913017053170020002900350496             6000402404501920102     2196     1006Census Tract 9201.02 (part)                                                                                                                                                
79813017053170020002900350496             6504402404615           9281     3615Richmond Hill city                                                                                                                                                         
79913017053170020002900350496             6504402404615920301       59       31Census Tract 9203.01 (part)                                                                                                                                                
79913017053170020002900350496             6504402404615920303     5138     2031Census Tract 9203.03 (part)                                                                                                                                                
79913017053170020002900350496             6504402404615920305     2167      769Census Tract 9203.05 (part)                                                                                                                                                
79913017053170020002900350496             6504402404615920306     1917      784Census Tract 9203.06 (part)                                                                                                                                                
79813017053170020002900350496             9999999999999          18756     7221Remainder of Bryan County                                                                                                                                                  
79913017053170020002900350496             9999999999999920101     4771     1948Census Tract 9201.01                                                                                                                                                       
79913017053170020002900350496             9999999999999920102     2771     1078Census Tract 9201.02 (part)                                                                                                                                                
79913017053170020002900350496             9999999999999920301     1799      680Census Tract 9203.01 (part)                                                                                                                                                
79913017053170020002900350496             9999999999999920303        2        2Census Tract 9203.03 (part)                                                                                                                                                
79913017053170020002900350496             9999999999999920305     1845      667Census Tract 9203.05 (part)                                                                                                                                                
79913017053170020002900350496             9999999999999920306     7568     2846Census Tract 9203.06 (part)                                                                                                                                                
79913017053170020002900350496             9999999999999980000        0        0Census Tract 9800                                                                                                                                                          
79613017053170020017900357095                                    63453    26731Liberty County                                                                                                                                                             
79813017053170020017900357095             0147202403083            695      294Allenhurst city                                                                                                                                                            
79913017053170020017900357095             0147202403083010204      452      177Census Tract 102.04 (part)                                                                                                                                                 
79913017053170020017900357095             0147202403083010400      243      117Census Tract 104 (part)                                                                                                                                                    
79813017053170020017900357095             3008802403617            743      285Flemington city                                                                                                                                                            
79913017053170020017900357095             3008802403617010300      222       79Census Tract 103 (part)                                                                                                                                                    
79913017053170020017900357095             3008802403617010400      521      206Census Tract 104 (part)                                                                                                                                                    
79813017053170020017900357095             3106802402504           4924     1271Fort Stewart CDP                                                                                                                                                           
79913017053170020017900357095             3106802402504010101     2264      850Census Tract 101.01 (part)                                                                                                                                                 
79913017053170020017900357095             3106802402504010102     2297      226Census Tract 101.02 (part)                                                                                                                                                 
79913017053170020017900357095             3106802402504010103      363      195Census Tract 101.03 (part)                                                                                                                                                 
79813017053170020017900357095             3580002403773            264      120Gumbranch city                                                                                                                                                             
79913017053170020017900357095             3580002403773010206      264      120Census Tract 102.06 (part)                                                                                                                                                 
79813017053170020017900357095             3896402404703          33437    14653Hinesville city                                                                                                                                                            
79913017053170020017900357095             3896402404703010202     4151     1858Census Tract 102.02                                                                                                                                                        
79913017053170020017900357095             3896402404703010205     5189     2265Census Tract 102.05 (part)                                                                                                                                                 
79913017053170020017900357095             3896402404703010206     2263     1137Census Tract 102.06 (part)                                                                                                                                                 
79913017053170020017900357095             3896402404703010207     5236     2133Census Tract 102.07 (part)                                                                                                                                                 
79913017053170020017900357095             3896402404703010208     5044     1794Census Tract 102.08 (part)                                                                                                                                                 
79913017053170020017900357095             3896402404703010300     6496     3186Census Tract 103 (part)                                                                                                                                                    
79913017053170020017900357095             3896402404703010400     5058     2280Census Tract 104 (part)                                                                                                                                                    
79813017053170020017900357095             5135202404257           2121      792Midway city                                                                                                                                                                
79913017053170020017900357095             5135202404257010501       62       30Census Tract 105.01 (part)                                                                                                                                                 
79913017053170020017900357095             5135202404257010502     2059      762Census Tract 105.02 (part)                                                                                                                                                 
79813017053170020017900357095             6496002404610            809      369Riceboro city                                                                                                                                                              
79913017053170020017900357095             6496002404610010600      809      369Census Tract 106 (part)                                                                                                                                                    
79813017053170020017900357095             8025602405668           4111     1796Walthourville city                                                                                                                                                         
79913017053170020017900357095             8025602405668010204     2696     1246Census Tract 102.04 (part)                                                                                                                                                 
79913017053170020017900357095             8025602405668010208      978      367Census Tract 102.08 (part)                                                                                                                                                 
79913017053170020017900357095             8025602405668010400      427      180Census Tract 104 (part)                                                                                                                                                    
79913017053170020017900357095             8025602405668010600       10        3Census Tract 106 (part)                                                                                                                                                    
79813017053170020017900357095             9999999999999          16349     7151Remainder of Liberty County                                                                                                                                                
79913017053170020017900357095             9999999999999010101     3957     1012Census Tract 101.01 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010102        0        0Census Tract 101.02 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010103      503      243Census Tract 101.03 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010204      104       48Census Tract 102.04 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010205      195       82Census Tract 102.05 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010206     1982      882Census Tract 102.06 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010207      258      185Census Tract 102.07 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010208      470      209Census Tract 102.08 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010400     1029      436Census Tract 104 (part)                                                                                                                                                    
79913017053170020017900357095             9999999999999010501     3740     2037Census Tract 105.01 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010502     3050     1536Census Tract 105.02 (part)                                                                                                                                                 
79913017053170020017900357095             9999999999999010600     1061      481Census Tract 106 (part)                                                                                                                                                    
79913017053170020017900357095             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
79613017053170020018300326719                                    14464     6039Long County                                                                                                                                                                
79813017053170020018300326719             4778402404970           1703      745Ludowici city                                                                                                                                                              
79913017053170020018300326719             4778402404970970100        0        0Census Tract 9701 (part)                                                                                                                                                   
79913017053170020018300326719             4778402404970970200     1703      745Census Tract 9702 (part)                                                                                                                                                   
79813017053170020018300326719             9999999999999          12761     5294Remainder of Long County                                                                                                                                                   
79913017053170020018300326719             9999999999999970100     8866     3663Census Tract 9701 (part)                                                                                                                                                   
79913017053170020018300326719             9999999999999970200     3895     1631Census Tract 9702 (part)                                                                                                                                                   
79913017053170020018300326719             9999999999999980000        0        0Census Tract 9800                                                                                                                                                          
795130170531700300                                              137060    55417Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA                                                                                            
79613017053170030003100350302                                    70217    28794Bulloch County                                                                                                                                                             
79813017053170030003100350302             1100002403934           1395      572Brooklet city                                                                                                                                                              
79913017053170030003100350302             1100002403934110700     1395      572Census Tract 1107 (part)                                                                                                                                                   
79813017053170030003100350302             6221602407150            638      288Portal town                                                                                                                                                                
79913017053170030003100350302             6221602407150110100      638      288Census Tract 1101 (part)                                                                                                                                                   
79813017053170030003100350302             6437202407195            175       73Register town                                                                                                                                                              
79913017053170030003100350302             6437202407195110800      175       73Census Tract 1108 (part)                                                                                                                                                   
79813017053170030003100350302             7325602405525          28422    11602Statesboro city                                                                                                                                                            
79913017053170030003100350302             7325602405525110200     3389     1558Census Tract 1102 (part)                                                                                                                                                   
79913017053170030003100350302             7325602405525110300      194      108Census Tract 1103 (part)                                                                                                                                                   
79913017053170030003100350302             7325602405525110401     2989     1532Census Tract 1104.01 (part)                                                                                                                                                
79913017053170030003100350302             7325602405525110403     6382     3084Census Tract 1104.03 (part)                                                                                                                                                
79913017053170030003100350302             7325602405525110404     7217     1413Census Tract 1104.04 (part)                                                                                                                                                
79913017053170030003100350302             7325602405525110500     4027     1960Census Tract 1105 (part)                                                                                                                                                   
79913017053170030003100350302             7325602405525110601     2600     1279Census Tract 1106.01 (part)                                                                                                                                                
79913017053170030003100350302             7325602405525110602     1624      668Census Tract 1106.02 (part)                                                                                                                                                
79813017053170030003100350302             9999999999999          39587    16259Remainder of Bulloch County                                                                                                                                                
79913017053170030003100350302             9999999999999110100     3343     1460Census Tract 1101 (part)                                                                                                                                                   
79913017053170030003100350302             9999999999999110200     4934     1817Census Tract 1102 (part)                                                                                                                                                   
79913017053170030003100350302             9999999999999110300     7794     3315Census Tract 1103 (part)                                                                                                                                                   
79913017053170030003100350302             9999999999999110401      366      198Census Tract 1104.01 (part)                                                                                                                                                
79913017053170030003100350302             9999999999999110403      419      164Census Tract 1104.03 (part)                                                                                                                                                
79913017053170030003100350302             9999999999999110404       50       24Census Tract 1104.04 (part)                                                                                                                                                
79913017053170030003100350302             9999999999999110500       18        7Census Tract 1105 (part)                                                                                                                                                   
79913017053170030003100350302             9999999999999110601     3185     1317Census Tract 1106.01 (part)                                                                                                                                                
79913017053170030003100350302             9999999999999110602     2359     1041Census Tract 1106.02 (part)                                                                                                                                                
79913017053170030003100350302             9999999999999110700     7802     3071Census Tract 1107 (part)                                                                                                                                                   
79913017053170030003100350302             9999999999999110800     2367     1049Census Tract 1108 (part)                                                                                                                                                   
79913017053170030003100350302             9999999999999110900     6950     2796Census Tract 1109                                                                                                                                                          
79613017053170030010300350219                                    52250    19884Effingham County                                                                                                                                                           
79813017053170030010300350219             3588402403777           1684      639Guyton city                                                                                                                                                                
