79805000680850010000700069896             1774002404207           1699      708Decatur city                                                                                                                                                               
79905000680850010000700069896             1774002404207020902      106       41Census Tract 209.02 (part)                                                                                                                                                 
79905000680850010000700069896             1774002404207021002      983      405Census Tract 210.02 (part)                                                                                                                                                 
79905000680850010000700069896             1774002404207021305      610      262Census Tract 213.05 (part)                                                                                                                                                 
79805000680850010000700069896             2143002403561             38       12Elm Springs city (part)                                                                                                                                                    
79905000680850010000700069896             2143002403561021311       38       12Census Tract 213.11 (part)                                                                                                                                                 
79805000680850010000700069896             2575002406542            502      224Garfield town                                                                                                                                                              
79905000680850010000700069896             2575002406542020101      293      132Census Tract 201.01 (part)                                                                                                                                                 
79905000680850010000700069896             2575002406542021404      181       79Census Tract 214.04 (part)                                                                                                                                                 
79905000680850010000700069896             2575002406542021405       28       13Census Tract 214.05 (part)                                                                                                                                                 
79805000680850010000700069896             2611002406553            405      174Gateway town                                                                                                                                                               
79905000680850010000700069896             2611002406553020101      306      135Census Tract 201.01 (part)                                                                                                                                                 
79905000680850010000700069896             2611002406553021405       99       39Census Tract 214.05 (part)                                                                                                                                                 
79805000680850010000700069896             2629002403688           3158     1274Gentry city                                                                                                                                                                
79905000680850010000700069896             2629002403688021002     2567     1039Census Tract 210.02 (part)                                                                                                                                                 
79905000680850010000700069896             2629002403688021301      591      235Census Tract 213.01 (part)                                                                                                                                                 
79805000680850010000700069896             2836002403729           2325     1009Gravette city                                                                                                                                                              
79905000680850010000700069896             2836002403729020902     1033      474Census Tract 209.02 (part)                                                                                                                                                 
79905000680850010000700069896             2836002403729021001     1292      535Census Tract 210.01 (part)                                                                                                                                                 
79805000680850010000700069896             3220002405830            583      271Highfill town                                                                                                                                                              
79905000680850010000700069896             3220002405830021301       90       45Census Tract 213.01 (part)                                                                                                                                                 
79905000680850010000700069896             3220002405830021305      493      226Census Tract 213.05 (part)                                                                                                                                                 
79805000680850010000700069896             3253502582916            497      218Hiwasse CDP                                                                                                                                                                
79905000680850010000700069896             3253502582916020806      238      104Census Tract 208.06 (part)                                                                                                                                                 
79905000680850010000700069896             3253502582916020902      259      114Census Tract 209.02 (part)                                                                                                                                                 
79805000680850010000700069896             4012002404938           2585     1378Little Flock city                                                                                                                                                          
79905000680850010000700069896             4012002404938020102      797      331Census Tract 201.02 (part)                                                                                                                                                 
79905000680850010000700069896             4012002404938020201      127       53Census Tract 202.01 (part)                                                                                                                                                 
79905000680850010000700069896             4012002404938020304     1661      994Census Tract 203.04 (part)                                                                                                                                                 
79805000680850010000700069896             4155502582917            434      457Lost Bridge Village CDP                                                                                                                                                    
79905000680850010000700069896             4155502582917021405      434      457Census Tract 214.05 (part)                                                                                                                                                 
79805000680850010000700069896             4172002404965           7327     2867Lowell city                                                                                                                                                                
79905000680850010000700069896             4172002404965020206      120       42Census Tract 202.06 (part)                                                                                                                                                 
79905000680850010000700069896             4172002404965021310     3052     1377Census Tract 213.10 (part)                                                                                                                                                 
79905000680850010000700069896             4172002404965021311      477      194Census Tract 213.11 (part)                                                                                                                                                 
79905000680850010000700069896             4172002404965021406     3678     1254Census Tract 214.06 (part)                                                                                                                                                 
79805000680850010000700069896             4481002582918            130       62Maysville CDP                                                                                                                                                              
79905000680850010000700069896             4481002582918021001      130       62Census Tract 210.01 (part)                                                                                                                                                 
79805000680850010000700069896             5420002404492           4794     1887Pea Ridge city                                                                                                                                                             
79905000680850010000700069896             5420002404492020101     3054     1163Census Tract 201.01 (part)                                                                                                                                                 
79905000680850010000700069896             5420002404492020102     1140      520Census Tract 201.02 (part)                                                                                                                                                 
79905000680850010000700069896             5420002404492020701      586      198Census Tract 207.01 (part)                                                                                                                                                 
79905000680850010000700069896             5420002404492020704       14        6Census Tract 207.04 (part)                                                                                                                                                 
