79911017023820010300101702382             5000002390665009201     1976      619Census Tract 92.01                                                                                                                                                         
79911017023820010300101702382             5000002390665009203     2582     1259Census Tract 92.03                                                                                                                                                         
79911017023820010300101702382             5000002390665009204     2557     1369Census Tract 92.04                                                                                                                                                         
79911017023820010300101702382             5000002390665009301     3143     1230Census Tract 93.01                                                                                                                                                         
79911017023820010300101702382             5000002390665009302     1189      545Census Tract 93.02                                                                                                                                                         
79911017023820010300101702382             5000002390665009400     4163     1792Census Tract 94                                                                                                                                                            
79911017023820010300101702382             5000002390665009503     2910     1256Census Tract 95.03                                                                                                                                                         
79911017023820010300101702382             5000002390665009504     3025     1354Census Tract 95.04                                                                                                                                                         
79911017023820010300101702382             5000002390665009509     2940     1320Census Tract 95.09                                                                                                                                                         
79911017023820010300101702382             5000002390665011100     4859     1868Census Tract 111                                                                                                                                                           
795110170238200104                                              140006    63543District of Columbia (East) PUMA                                                                                                                                           
79611017023820010400101702382                                   140006    63543District of Columbia (part)                                                                                                                                                
79811017023820010400101702382             5000002390665         140006    63543Washington city (part)                                                                                                                                                     
79911017023820010400101702382             5000002390665007301     3012      991Census Tract 73.01                                                                                                                                                         
79911017023820010400101702382             5000002390665007304     3546     1376Census Tract 73.04                                                                                                                                                         
79911017023820010400101702382             5000002390665007401     2414      935Census Tract 74.01                                                                                                                                                         
79911017023820010400101702382             5000002390665007403     2859     1180Census Tract 74.03                                                                                                                                                         
79911017023820010400101702382             5000002390665007404     3310     1308Census Tract 74.04                                                                                                                                                         
79911017023820010400101702382             5000002390665007406     3063     1066Census Tract 74.06                                                                                                                                                         
79911017023820010400101702382             5000002390665007407     2587     1203Census Tract 74.07                                                                                                                                                         
79911017023820010400101702382             5000002390665007408     3038     1239Census Tract 74.08                                                                                                                                                         
79911017023820010400101702382             5000002390665007409     3499     1507Census Tract 74.09                                                                                                                                                         
79911017023820010400101702382             5000002390665007502     4541     1898Census Tract 75.02                                                                                                                                                         
79911017023820010400101702382             5000002390665007503     2425     1000Census Tract 75.03                                                                                                                                                         
79911017023820010400101702382             5000002390665007504     2451     1215Census Tract 75.04                                                                                                                                                         
79911017023820010400101702382             5000002390665007601     4355     2196Census Tract 76.01                                                                                                                                                         
79911017023820010400101702382             5000002390665007603     4044     2328Census Tract 76.03                                                                                                                                                         
79911017023820010400101702382             5000002390665007604     3644     1931Census Tract 76.04                                                                                                                                                         
79911017023820010400101702382             5000002390665007605     3447     1804Census Tract 76.05                                                                                                                                                         
79911017023820010400101702382             5000002390665007703     5187     2338Census Tract 77.03                                                                                                                                                         
79911017023820010400101702382             5000002390665007707     3867     1721Census Tract 77.07                                                                                                                                                         
79911017023820010400101702382             5000002390665007708     2486     1262Census Tract 77.08                                                                                                                                                         
79911017023820010400101702382             5000002390665007709     2007     1144Census Tract 77.09                                                                                                                                                         
79911017023820010400101702382             5000002390665007803     3293     1652Census Tract 78.03                                                                                                                                                         
79911017023820010400101702382             5000002390665007804     3446     1378Census Tract 78.04                                                                                                                                                         
79911017023820010400101702382             5000002390665007806     2347     1102Census Tract 78.06                                                                                                                                                         
79911017023820010400101702382             5000002390665007807     2139      906Census Tract 78.07                                                                                                                                                         
79911017023820010400101702382             5000002390665007808     3646     1598Census Tract 78.08                                                                                                                                                         
79911017023820010400101702382             5000002390665007809     2922     1339Census Tract 78.09                                                                                                                                                         
79911017023820010400101702382             5000002390665009601     2445      847Census Tract 96.01                                                                                                                                                         
79911017023820010400101702382             5000002390665009602     3280     1545Census Tract 96.02                                                                                                                                                         
79911017023820010400101702382             5000002390665009603     3373     1750Census Tract 96.03                                                                                                                                                         
79911017023820010400101702382             5000002390665009604     1962      998Census Tract 96.04                                                                                                                                                         
79911017023820010400101702382             5000002390665009700     3177     1307Census Tract 97                                                                                                                                                            
79911017023820010400101702382             5000002390665009801     1575      766Census Tract 98.01                                                                                                                                                         
79911017023820010400101702382             5000002390665009802     1693      848Census Tract 98.02                                                                                                                                                         
79911017023820010400101702382             5000002390665009803     2758     1416Census Tract 98.03                                                                                                                                                         
79911017023820010400101702382             5000002390665009804     2473     1071Census Tract 98.04                                                                                                                                                         
79911017023820010400101702382             5000002390665009807     3072     1551Census Tract 98.07                                                                                                                                                         
79911017023820010400101702382             5000002390665009810     2507     1171Census Tract 98.10                                                                                                                                                         
79911017023820010400101702382             5000002390665009811     4365     1979Census Tract 98.11                                                                                                                                                         
79911017023820010400101702382             5000002390665009901     2249     1070Census Tract 99.01                                                                                                                                                         
79911017023820010400101702382             5000002390665009902     2905     1292Census Tract 99.02                                                                                                                                                         
79911017023820010400101702382             5000002390665009903     1851      722Census Tract 99.03                                                                                                                                                         
79911017023820010400101702382             5000002390665009904     2243     1137Census Tract 99.04                                                                                                                                                         
79911017023820010400101702382             5000002390665009905     2795     1330Census Tract 99.05                                                                                                                                                         
79911017023820010400101702382             5000002390665009906     1296      756Census Tract 99.06                                                                                                                                                         
79911017023820010400101702382             5000002390665009907     2836     1176Census Tract 99.07                                                                                                                                                         
79911017023820010400101702382             5000002390665010400     4365     1828Census Tract 104                                                                                                                                                           
79911017023820010400101702382             5000002390665010900     3211     1366Census Tract 109                                                                                                                                                           
