79935008975350010003100929107             1894002407689943500     2278      837Census Tract 9435 (part)                                                                                                                                                   
79835008975350010003100929107             1908002407690            151       44Crystal CDP (part)                                                                                                                                                         
79935008975350010003100929107             1908002407690943800      151       44Census Tract 9438 (part)                                                                                                                                                   
79835008975350010003100929107             2846002410562          21678     8097Gallup city                                                                                                                                                                
79935008975350010003100929107             2846002410562943600       60       20Census Tract 9436 (part)                                                                                                                                                   
79935008975350010003100929107             2846002410562943901      156       52Census Tract 9439.01 (part)                                                                                                                                                
79935008975350010003100929107             2846002410562945200     4533     1489Census Tract 9452 (part)                                                                                                                                                   
79935008975350010003100929107             2846002410562945300     2988     1075Census Tract 9453 (part)                                                                                                                                                   
79935008975350010003100929107             2846002410562945400     3241     1452Census Tract 9454                                                                                                                                                          
79935008975350010003100929107             2846002410562945500     5747     2466Census Tract 9455 (part)                                                                                                                                                   
79935008975350010003100929107             2846002410562945600     4953     1543Census Tract 9456 (part)                                                                                                                                                   
79835008975350010003100929107             5086002408899            466      126Nakaibito CDP                                                                                                                                                              
79935008975350010003100929107             5086002408899943800      466      126Census Tract 9438 (part)                                                                                                                                                   
79835008975350010003100929107             5142002408904           1645      467Navajo CDP                                                                                                                                                                 
79935008975350010003100929107             5142002408904943800     1645      467Census Tract 9438 (part)                                                                                                                                                   
79835008975350010003100929107             6000002409108            192       84Pueblo Pintado CDP                                                                                                                                                         
79935008975350010003100929107             6000002409108944000      192       84Census Tract 9440 (part)                                                                                                                                                   
79835008975350010003100929107             6122002409127            370      169Ramah CDP                                                                                                                                                                  
79935008975350010003100929107             6122002409127973100      370      169Census Tract 9731 (part)                                                                                                                                                   
79835008975350010003100929107             6423002409194            567      156Rock Springs CDP                                                                                                                                                           
79935008975350010003100929107             6423002409194943902      567      156Census Tract 9439.02 (part)                                                                                                                                                
79835008975350010003100929107             7753002410078           1865      656Thoreau CDP                                                                                                                                                                
79935008975350010003100929107             7753002410078946000     1859      649Census Tract 9460 (part)                                                                                                                                                   
79935008975350010003100929107             7753002410078973100        6        7Census Tract 9731 (part)                                                                                                                                                   
79835008975350010003100929107             7844002409328            808      361Tohatchi CDP                                                                                                                                                               
79935008975350010003100929107             7844002409328943700       89       97Census Tract 9437 (part)                                                                                                                                                   
79935008975350010003100929107             7844002409328943800      719      264Census Tract 9438 (part)                                                                                                                                                   
79835008975350010003100929107             7988502409353            299      134Tse Bonito CDP                                                                                                                                                             
79935008975350010003100929107             7988502409353943800        0        0Census Tract 9438 (part)                                                                                                                                                   
79935008975350010003100929107             7988502409353943902      299      134Census Tract 9439.02 (part)                                                                                                                                                
79835008975350010003100929107             8054002409374           1052      330Twin Lakes CDP                                                                                                                                                             
79935008975350010003100929107             8054002409374943700      739      237Census Tract 9437 (part)                                                                                                                                                   
79935008975350010003100929107             8054002409374943800      313       93Census Tract 9438 (part)                                                                                                                                                   
79835008975350010003100929107             8586002409634            590      196Yah-ta-hey CDP                                                                                                                                                             
79935008975350010003100929107             8586002409634943902      590      196Census Tract 9439.02 (part)                                                                                                                                                
79835008975350010003100929107             8659502409649           6302     1672Zuni Pueblo CDP                                                                                                                                                            
79935008975350010003100929107             8659502409649940300     6302     1672Census Tract 9403 (part)                                                                                                                                                   
79835008975350010003100929107             9999999999999          30579    11690Remainder of McKinley County                                                                                                                                               
79935008975350010003100929107             9999999999999940300      157       30Census Tract 9403 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999940500       99       68Census Tract 9405 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999943500     1145      488Census Tract 9435 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999943600     5194     1842Census Tract 9436 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999943700     2827     1119Census Tract 9437 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999943800     2959     1058Census Tract 9438 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999943901     4153     1565Census Tract 9439.01 (part)                                                                                                                                                
79935008975350010003100929107             9999999999999943902     2782      952Census Tract 9439.02 (part)                                                                                                                                                
79935008975350010003100929107             9999999999999944000     1994      850Census Tract 9440 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999945200     1966      722Census Tract 9452 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999945300      198       64Census Tract 9453 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999945500       91       37Census Tract 9455 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999945600      295       91Census Tract 9456 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999945700     2197      889Census Tract 9457                                                                                                                                                          
79935008975350010003100929107             9999999999999946000     3818     1475Census Tract 9460 (part)                                                                                                                                                   
79935008975350010003100929107             9999999999999973100      704      440Census Tract 9731 (part)                                                                                                                                                   
79635008975350010004500936844                                    29103    10411San Juan County (part)                                                                                                                                                     
79835008975350010004500936844             0642502407820            317      107Beclabito CDP                                                                                                                                                              
79935008975350010004500936844             0642502407820942801      317      107Census Tract 9428.01 (part)                                                                                                                                                
79835008975350010004500936844             0788002409865            422      142Bloomfield city (part)                                                                                                                                                     
79935008975350010004500936844             0788002409865943201      422      142Census Tract 9432.01 (part)                                                                                                                                                
79835008975350010004500936844             1908002407690            160       76Crystal CDP (part)                                                                                                                                                         
79935008975350010004500936844             1908002407690943100      160       76Census Tract 9431 (part)                                                                                                                                                   
79835008975350010004500936844             2580002410487              5        1Farmington city (part)                                                                                                                                                     
79935008975350010004500936844             2580002410487943201        5        1Census Tract 9432.01 (part)                                                                                                                                                
79835008975350010004500936844             3791002584128             64       43Lake Valley CDP                                                                                                                                                            
79935008975350010004500936844             3791002584128943201       64       43Census Tract 9432.01 (part)                                                                                                                                                
79835008975350010004500936844             5079002408898            286       94Nageezi CDP                                                                                                                                                                
79935008975350010004500936844             5079002408898943201      286       94Census Tract 9432.01 (part)                                                                                                                                                
79835008975350010004500936844             5103502408900            727      196Napi Headquarters CDP                                                                                                                                                      
79935008975350010004500936844             5103502408900943201      727      196Census Tract 9432.01 (part)                                                                                                                                                
79835008975350010004500936844             5128002408902            301      103Naschitti CDP                                                                                                                                                              
79935008975350010004500936844             5128002408902943100      301      103Census Tract 9431 (part)                                                                                                                                                   
79835008975350010004500936844             5171502408912            688      226Nenahnezad CDP                                                                                                                                                             
79935008975350010004500936844             5171502408912943000      688      226Census Tract 9430 (part)                                                                                                                                                   
79835008975350010004500936844             5177002408922            339      148Newcomb CDP                                                                                                                                                                
79935008975350010004500936844             5177002408922942900      339      148Census Tract 9429 (part)                                                                                                                                                   
79835008975350010004500936844             5348502408981            766      173Ojo Amarillo CDP                                                                                                                                                           
79935008975350010004500936844             5348502408981943000      766      173Census Tract 9430 (part)                                                                                                                                                   
79835008975350010004500936844             6962002409274            371      133Sanostee CDP                                                                                                                                                               
79935008975350010004500936844             6962002409274942900      371      133Census Tract 9429 (part)                                                                                                                                                   
79835008975350010004500936844             7260002408723            245       74Sheep Springs CDP                                                                                                                                                          
79935008975350010004500936844             7260002408723942900      226       61Census Tract 9429 (part)                                                                                                                                                   
79935008975350010004500936844             7260002408723943100       19       13Census Tract 9431 (part)                                                                                                                                                   
79835008975350010004500936844             7277002408729           8295     2706Shiprock CDP                                                                                                                                                               
79935008975350010004500936844             7277002408729942801       50       15Census Tract 9428.01 (part)                                                                                                                                                
79935008975350010004500936844             7277002408729942802     5783     2001Census Tract 9428.02 (part)                                                                                                                                                
79935008975350010004500936844             7277002408729942803     2462      690Census Tract 9428.03 (part)                                                                                                                                                
79835008975350010004500936844             8117702409381           1662      498Upper Fruitland CDP                                                                                                                                                        
79935008975350010004500936844             8117702409381943000     1662      498Census Tract 9430 (part)                                                                                                                                                   
79835008975350010004500936844             8420002584236            778      273West Hammond CDP (part)                                                                                                                                                    
79935008975350010004500936844             8420002584236943201      778      273Census Tract 9432.01 (part)                                                                                                                                                
79835008975350010004500936844             9999999999999          13677     5418Remainder of San Juan County (part)                                                                                                                                        
79935008975350010004500936844             9999999999999942801     2492      870Census Tract 9428.01 (part)                                                                                                                                                
79935008975350010004500936844             9999999999999942802      404      131Census Tract 9428.02 (part)                                                                                                                                                
79935008975350010004500936844             9999999999999942803      198       64Census Tract 9428.03 (part)                                                                                                                                                
