79906017797780010200101675839             5300002411292403400     4146     3071Census Tract 4034                                                                                                                                                          
79906017797780010200101675839             5300002411292403501     4374     2745Census Tract 4035.01                                                                                                                                                       
79906017797780010200101675839             5300002411292403502     1991     1296Census Tract 4035.02                                                                                                                                                       
79906017797780010200101675839             5300002411292403600     4482     2732Census Tract 4036                                                                                                                                                          
79906017797780010200101675839             5300002411292403701     2587     1915Census Tract 4037.01                                                                                                                                                       
79906017797780010200101675839             5300002411292403702     1724     1211Census Tract 4037.02                                                                                                                                                       
79906017797780010200101675839             5300002411292405200     4597     2597Census Tract 4052                                                                                                                                                          
79906017797780010200101675839             5300002411292405301     2603     1656Census Tract 4053.01                                                                                                                                                       
79906017797780010200101675839             5300002411292405302     2530     1561Census Tract 4053.02                                                                                                                                                       
79906017797780010200101675839             5300002411292405401     3957     1748Census Tract 4054.01                                                                                                                                                       
79906017797780010200101675839             5300002411292405402     3114     1251Census Tract 4054.02                                                                                                                                                       
79906017797780010200101675839             5300002411292405500     3643     1642Census Tract 4055                                                                                                                                                          
79906017797780010200101675839             5300002411292405600     3137     1511Census Tract 4056                                                                                                                                                          
79906017797780010200101675839             5300002411292405700     3243     1439Census Tract 4057                                                                                                                                                          
79906017797780010200101675839             5300002411292405800     3965     1382Census Tract 4058                                                                                                                                                          
79906017797780010200101675839             5300002411292405901     3910     1192Census Tract 4059.01                                                                                                                                                       
79906017797780010200101675839             5300002411292405902     3035     1001Census Tract 4059.02                                                                                                                                                       
79906017797780010200101675839             5300002411292406000     3450     1669Census Tract 4060                                                                                                                                                          
79906017797780010200101675839             5300002411292406100     4381     1620Census Tract 4061                                                                                                                                                          
79906017797780010200101675839             5300002411292406201     4649     1520Census Tract 4062.01                                                                                                                                                       
79906017797780010200101675839             5300002411292406202     4718     1406Census Tract 4062.02                                                                                                                                                       
79906017797780010200101675839             5300002411292406300     4113     1323Census Tract 4063                                                                                                                                                          
79906017797780010200101675839             5300002411292406400     2145      789Census Tract 4064                                                                                                                                                          
79906017797780010200101675839             5300002411292410500     2193      948Census Tract 4105                                                                                                                                                          
79906017797780010200101675839             5300002411292981900       38       26Census Tract 9819                                                                                                                                                          
79906017797780010200101675839             5300002411292982000       71       37Census Tract 9820                                                                                                                                                          
79906017797780010200101675839             5300002411292983200      540      404Census Tract 9832                                                                                                                                                          
795060177977800103                                              125229    58226Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA                                                                                                          
79606017797780010300101675839                                   125229    58226Alameda County (part)                                                                                                                                                      
79806017797780010300101675839             5300002411292         114562    54302Oakland city (part)                                                                                                                                                        
79906017797780010300101675839             5300002411292400100     2937     1396Census Tract 4001                                                                                                                                                          
79906017797780010300101675839             5300002411292400200     1974      915Census Tract 4002                                                                                                                                                          
79906017797780010300101675839             5300002411292400300     4865     2591Census Tract 4003                                                                                                                                                          
79906017797780010300101675839             5300002411292401100     4156     2147Census Tract 4011                                                                                                                                                          
79906017797780010300101675839             5300002411292401200     2416     1296Census Tract 4012                                                                                                                                                          
79906017797780010300101675839             5300002411292403800     3461     1975Census Tract 4038                                                                                                                                                          
79906017797780010300101675839             5300002411292403900     3584     2265Census Tract 4039                                                                                                                                                          
79906017797780010300101675839             5300002411292404000     2819     1831Census Tract 4040                                                                                                                                                          
79906017797780010300101675839             5300002411292404101     2929     1819Census Tract 4041.01                                                                                                                                                       
