79821017797860010008300516888             8083202405684            279      145Water Valley city                                                                                                                                                          
79921017797860010008300516888             8083202405684020500      279      145Census Tract 205 (part)                                                                                                                                                    
79821017797860010008300516888             8385602405766            632      276Wingo city                                                                                                                                                                 
79921017797860010008300516888             8385602405766020500      632      276Census Tract 205 (part)                                                                                                                                                    
79821017797860010008300516888             9999999999999          24164    10634Remainder of Graves County                                                                                                                                                 
79921017797860010008300516888             9999999999999020100     1191      596Census Tract 201 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020200     1129      492Census Tract 202 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020300     2297      980Census Tract 203 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020400     2610     1204Census Tract 204 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020500     2987     1323Census Tract 205 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020600     1909      741Census Tract 206 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020700     4838     2100Census Tract 207 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020800     4607     2080Census Tract 208 (part)                                                                                                                                                    
79921017797860010008300516888             9999999999999020900     2596     1118Census Tract 209 (part)                                                                                                                                                    
79621017797860010010500516899                                     4902     2342Hickman County                                                                                                                                                             
79821017797860010010500516899             1574202404077           1388      654Clinton city                                                                                                                                                               
79921017797860010010500516899             1574202404077970100     1388      654Census Tract 9701 (part)                                                                                                                                                   
79821017797860010010500516899             1676802404110            170       85Columbus city                                                                                                                                                              
79921017797860010010500516899             1676802404110970100      170       85Census Tract 9701 (part)                                                                                                                                                   
79821017797860010010500516899             9999999999999           3344     1603Remainder of Hickman County                                                                                                                                                
79921017797860010010500516899             9999999999999970100     3344     1603Census Tract 9701 (part)                                                                                                                                                   
79621017797860010014500516925                                    65565    31079McCracken County                                                                                                                                                           
79821017797860010014500516925             2652802629614           4701     2232Farley CDP                                                                                                                                                                 
79921017797860010014500516925             2652802629614030100      579      291Census Tract 301 (part)                                                                                                                                                    
79921017797860010014500516925             2652802629614031000     4122     1941Census Tract 310 (part)                                                                                                                                                    
79821017797860010014500516925             3590202402577           4687     2275Hendron CDP                                                                                                                                                                
79921017797860010014500516925             3590202402577030900     1449      671Census Tract 309 (part)                                                                                                                                                    
79921017797860010014500516925             3590202402577031200       71       27Census Tract 312 (part)                                                                                                                                                    
79921017797860010014500516925             3590202402577031301      859      468Census Tract 313.01 (part)                                                                                                                                                 
79921017797860010014500516925             3590202402577031302     2308     1109Census Tract 313.02 (part)                                                                                                                                                 
79821017797860010014500516925             5055602403262           4505     2029Massac CDP                                                                                                                                                                 
79921017797860010014500516925             5055602403262031301     2743     1278Census Tract 313.01 (part)                                                                                                                                                 
79921017797860010014500516925             5055602403262031302     1762      751Census Tract 313.02 (part)                                                                                                                                                 
79821017797860010014500516925             5883602404458          25024    12851Paducah city                                                                                                                                                               
79921017797860010014500516925             5883602404458030100      686      365Census Tract 301 (part)                                                                                                                                                    
79921017797860010014500516925             5883602404458030200     2075     1136Census Tract 302 (part)                                                                                                                                                    
79921017797860010014500516925             5883602404458030300     1482      836Census Tract 303 (part)                                                                                                                                                    
79921017797860010014500516925             5883602404458030400     1767      884Census Tract 304 (part)                                                                                                                                                    
79921017797860010014500516925             5883602404458030500     1243      764Census Tract 305                                                                                                                                                           
79921017797860010014500516925             5883602404458030600     3699     1873Census Tract 306 (part)                                                                                                                                                    
79921017797860010014500516925             5883602404458030700     4469     2312Census Tract 307                                                                                                                                                           
79921017797860010014500516925             5883602404458030800     4623     2213Census Tract 308                                                                                                                                                           
79921017797860010014500516925             5883602404458030900     2034      950Census Tract 309 (part)                                                                                                                                                    
79921017797860010014500516925             5883602404458031301     1158      595Census Tract 313.01 (part)                                                                                                                                                 
79921017797860010014500516925             5883602404458031302       58       26Census Tract 313.02 (part)                                                                                                                                                 
79921017797860010014500516925             5883602404458031400     1730      897Census Tract 314 (part)                                                                                                                                                    
79921017797860010014500516925             5883602404458031500        0        0Census Tract 315 (part)                                                                                                                                                    
79821017797860010014500516925             6463202403469           4491     1975Reidland CDP                                                                                                                                                               
79921017797860010014500516925             6463202403469031100     4491     1975Census Tract 311 (part)                                                                                                                                                    
79821017797860010014500516925             9999999999999          22157     9717Remainder of McCracken County                                                                                                                                              
79921017797860010014500516925             9999999999999030100        0        0Census Tract 301 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999030200        0        0Census Tract 302 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999030300        0        0Census Tract 303 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999030400        4        2Census Tract 304 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999030600        6        5Census Tract 306 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999030900       23       12Census Tract 309 (part)                                                                                                                                                    
79921017797860010014500516925             9999999999999031000      446      194Census Tract 310 (part)                                                                                                                                                    
