79941011551070010005901156673             8035002412241950100      667      271Census Tract 9501 (part)                                                                                                                                                   
79841011551070010005901156673             9999999999999          19155     8281Remainder of Umatilla County                                                                                                                                               
79941011551070010005901156673             9999999999999940000      678      297Census Tract 9400 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950100     3564     2015Census Tract 9501 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950200      593      232Census Tract 9502 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950300      990      404Census Tract 9503 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950400      666      282Census Tract 9504 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950500      843      348Census Tract 9505 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950600      723      278Census Tract 9506 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950700      311      145Census Tract 9507 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950800     3563     1304Census Tract 9508 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999950900     1618      640Census Tract 9509 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999951000     1244      435Census Tract 9510 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999951100      926      367Census Tract 9511 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999951200     1760      609Census Tract 9512 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999951300      973      415Census Tract 9513 (part)                                                                                                                                                   
79941011551070010005901156673             9999999999999951400      703      510Census Tract 9514 (part)                                                                                                                                                   
79641011551070010006101164165                                    25748    11489Union County                                                                                                                                                               
79841011551070010006101164165             1625002410249            552      257Cove city                                                                                                                                                                  
79941011551070010006101164165             1625002410249970300      552      257Census Tract 9703 (part)                                                                                                                                                   
79841011551070010006101164165             2255002410422           1711      778Elgin city                                                                                                                                                                 
79941011551070010006101164165             2255002410422970100     1711      778Census Tract 9701 (part)                                                                                                                                                   
79841011551070010006101164165             3605002410096            306      119Imbler city                                                                                                                                                                
79941011551070010006101164165             3605002410096970300      306      119Census Tract 9703 (part)                                                                                                                                                   
79841011551070010006101164165             3675002410120            989      416Island City city                                                                                                                                                           
79941011551070010006101164165             3675002410120970400       20        7Census Tract 9704 (part)                                                                                                                                                   
79941011551070010006101164165             3675002410120970800      969      409Census Tract 9708 (part)                                                                                                                                                   
79841011551070010006101164165             4035002411568          13082     5794La Grande city                                                                                                                                                             
79941011551070010006101164165             4035002411568970400     1221      545Census Tract 9704 (part)                                                                                                                                                   
79941011551070010006101164165             4035002411568970500     2881     1224Census Tract 9705 (part)                                                                                                                                                   
79941011551070010006101164165             4035002411568970600     3400     1497Census Tract 9706 (part)                                                                                                                                                   
79941011551070010006101164165             4035002411568970700     3239     1447Census Tract 9707                                                                                                                                                          
79941011551070010006101164165             4035002411568970800     2341     1081Census Tract 9708 (part)                                                                                                                                                   
79841011551070010006101164165             5330002411277            439      214North Powder city                                                                                                                                                          
79941011551070010006101164165             5330002411277970200      439      214Census Tract 9702 (part)                                                                                                                                                   
79841011551070010006101164165             7085002413348            135       50Summerville town                                                                                                                                                           
79941011551070010006101164165             7085002413348970100      135       50Census Tract 9701 (part)                                                                                                                                                   
79841011551070010006101164165             7585002412129           2121      933Union city                                                                                                                                                                 
79941011551070010006101164165             7585002412129970200     2121      933Census Tract 9702 (part)                                                                                                                                                   
79841011551070010006101164165             9999999999999           6413     2928Remainder of Union County                                                                                                                                                  
79941011551070010006101164165             9999999999999970100     1401      752Census Tract 9701 (part)                                                                                                                                                   
79941011551070010006101164165             9999999999999970200      709      348Census Tract 9702 (part)                                                                                                                                                   
79941011551070010006101164165             9999999999999970300     1366      582Census Tract 9703 (part)                                                                                                                                                   
79941011551070010006101164165             9999999999999970400     1699      689Census Tract 9704 (part)                                                                                                                                                   
79941011551070010006101164165             9999999999999970500      489      210Census Tract 9705 (part)                                                                                                                                                   
79941011551070010006101164165             9999999999999970600      386      201Census Tract 9706 (part)                                                                                                                                                   
79941011551070010006101164165             9999999999999970800      363      146Census Tract 9708 (part)                                                                                                                                                   
79641011551070010006301155135                                     7008     4108Wallowa County                                                                                                                                                             
79841011551070010006301155135             2350002410445           1940      965Enterprise city                                                                                                                                                            
79941011551070010006301155135             2350002410445960300     1940      965Census Tract 9603 (part)                                                                                                                                                   
79841011551070010006301155135             3790002410150           1081      590Joseph city                                                                                                                                                                
79941011551070010006301155135             3790002410150960100     1081      590Census Tract 9601 (part)                                                                                                                                                   
79841011551070010006301155135             4390002410882            213      112Lostine city                                                                                                                                                               
79941011551070010006301155135             4390002410882960200      213      112Census Tract 9602 (part)                                                                                                                                                   
79841011551070010006301155135             7815002412172            808      394Wallowa city                                                                                                                                                               
79941011551070010006301155135             7815002412172960200      808      394Census Tract 9602 (part)                                                                                                                                                   
79841011551070010006301155135             7816002584429             62      276Wallowa Lake CDP                                                                                                                                                           
79941011551070010006301155135             7816002584429960100       33      100Census Tract 9601 (part)                                                                                                                                                   
79941011551070010006301155135             7816002584429960300       29      176Census Tract 9603 (part)                                                                                                                                                   
79841011551070010006301155135             9999999999999           2904     1771Remainder of Wallowa County                                                                                                                                                
79941011551070010006301155135             9999999999999960100      843      587Census Tract 9601 (part)                                                                                                                                                   
79941011551070010006301155135             9999999999999960200      853      526Census Tract 9602 (part)                                                                                                                                                   
79941011551070010006301155135             9999999999999960300     1208      658Census Tract 9603 (part)                                                                                                                                                   
795410115510700200                                              113952    52530North Central Oregon--The Dalles City PUMA                                                                                                                                 
79641011551070020001301155128                                    20978    10202Crook County                                                                                                                                                               
79841011551070020001301155128             5985002411494           9253     4181Prineville city                                                                                                                                                            
79941011551070020001301155128             5985002411494950100     4530     1981Census Tract 9501 (part)                                                                                                                                                   
79941011551070020001301155128             5985002411494950200     1402      626Census Tract 9502 (part)                                                                                                                                                   
79941011551070020001301155128             5985002411494950300     3321     1574Census Tract 9503 (part)                                                                                                                                                   
79841011551070020001301155128             9999999999999          11725     6021Remainder of Crook County                                                                                                                                                  
79941011551070020001301155128             9999999999999950100     2737     1234Census Tract 9501 (part)                                                                                                                                                   
79941011551070020001301155128             9999999999999950200     2866     1294Census Tract 9502 (part)                                                                                                                                                   
79941011551070020001301155128             9999999999999950300     2245     1129Census Tract 9503 (part)                                                                                                                                                   
79941011551070020001301155128             9999999999999950400     3877     2364Census Tract 9504                                                                                                                                                          
79641011551070020002101135850                                     1871     1156Gilliam County                                                                                                                                                             
79841011551070020002101135850             0280002409730            586      315Arlington city                                                                                                                                                             
79941011551070020002101135850             0280002409730960100      586      315Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002101135850             1500002410215            682      455Condon city                                                                                                                                                                
79941011551070020002101135850             1500002410215960100      682      455Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002101135850             4340002410865             21       25Lonerock city                                                                                                                                                              
79941011551070020002101135850             4340002410865960100       21       25Census Tract 9601 (part)                                                                                                                                                   
79841011551070020002101135850             9999999999999            582      361Remainder of Gilliam County                                                                                                                                                
79941011551070020002101135850             9999999999999960100      582      361Census Tract 9601 (part)                                                                                                                                                   
79641011551070020002301135851                                     7445     4344Grant County                                                                                                                                                               
