79945017797990010107701248015             5051502407001011103      489      221Census Tract 111.03 (part)                                                                                                                                                 
79845017797990010107701248015             5614002404514           3126     1481Pickens city                                                                                                                                                               
79945017797990010107701248015             5614002404514010402     2457     1176Census Tract 104.02 (part)                                                                                                                                                 
79945017797990010107701248015             5614002404514010403        5        2Census Tract 104.03 (part)                                                                                                                                                 
79945017797990010107701248015             5614002404514010502      664      303Census Tract 105.02 (part)                                                                                                                                                 
79845017797990010107701248015             6676002407347            675      303Six Mile town                                                                                                                                                              
79945017797990010107701248015             6676002407347010300      675      303Census Tract 103 (part)                                                                                                                                                    
79845017797990010107701248015             9999999999999          69818    28505Remainder of Pickens County                                                                                                                                                
79945017797990010107701248015             9999999999999010100     3003     1833Census Tract 101                                                                                                                                                           
79945017797990010107701248015             9999999999999010200     4410     2453Census Tract 102                                                                                                                                                           
79945017797990010107701248015             9999999999999010300     4994     2181Census Tract 103 (part)                                                                                                                                                    
79945017797990010107701248015             9999999999999010401     2134      960Census Tract 104.01                                                                                                                                                        
79945017797990010107701248015             9999999999999010402     3069     1406Census Tract 104.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010403     2005      826Census Tract 104.03 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010501     2776     1199Census Tract 105.01                                                                                                                                                        
79945017797990010107701248015             9999999999999010502     2603     1173Census Tract 105.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010601     3541     1425Census Tract 106.01                                                                                                                                                        
79945017797990010107701248015             9999999999999010602     6971     2857Census Tract 106.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010700     2338     1020Census Tract 107 (part)                                                                                                                                                    
79945017797990010107701248015             9999999999999010801     1027      426Census Tract 108.01 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010802     1550      696Census Tract 108.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010803     2322      906Census Tract 108.03 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010804       83       44Census Tract 108.04 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010901     2514     1045Census Tract 109.01 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010902     1342      519Census Tract 109.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999010903     3392     1395Census Tract 109.03 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011001     3008     1232Census Tract 110.01 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011002     3083     1272Census Tract 110.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011003     2468     1043Census Tract 110.03                                                                                                                                                        
79945017797990010107701248015             9999999999999011101     1451      595Census Tract 111.01 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011102     1939      860Census Tract 111.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011103      720      353Census Tract 111.03 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011202     5621      111Census Tract 112.02 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011203      365      340Census Tract 112.03 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011204      708      332Census Tract 112.04 (part)                                                                                                                                                 
79945017797990010107701248015             9999999999999011205      381        3Census Tract 112.05 (part)                                                                                                                                                 
795450177979900102                                              101998    43448Greenville County (North)--Greer City (North & West) & Taylors (Central & East) PUMA                                                                                       
79645017797990010204501245489                                   101998    43448Greenville County (part)                                                                                                                                                   
79845017797990010204501245489             3098502403758          18635     8342Greer city (part)                                                                                                                                                          
79945017797990010204501245489             3098502403758002402      204       90Census Tract 24.02 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002403        2        1Census Tract 24.03 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002503     6647     2817Census Tract 25.03 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002504     1676      849Census Tract 25.04                                                                                                                                                         
79945017797990010204501245489             3098502403758002505     3398     1639Census Tract 25.05 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002506      957      468Census Tract 25.06 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002507     2690     1153Census Tract 25.07 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002604        3        1Census Tract 26.04 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002606      401      164Census Tract 26.06 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002608     2657     1160Census Tract 26.08 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758002611        0        0Census Tract 26.11 (part)                                                                                                                                                  
79945017797990010204501245489             3098502403758004001        0        0Census Tract 40.01 (part)                                                                                                                                                  
79845017797990010204501245489             6691702402860           2176      973Slater-Marietta CDP                                                                                                                                                        
79945017797990010204501245489             6691702402860004101     2176      973Census Tract 41.01 (part)                                                                                                                                                  
79845017797990010204501245489             7139502402918          12119     5083Taylors CDP (part)                                                                                                                                                         
79945017797990010204501245489             7139502402918002602     3971     1667Census Tract 26.02                                                                                                                                                         
79945017797990010204501245489             7139502402918002604     5092     2122Census Tract 26.04 (part)                                                                                                                                                  
79945017797990010204501245489             7139502402918002610     3056     1294Census Tract 26.10                                                                                                                                                         
79845017797990010204501245489             7189002629837           1312       44Tigerville CDP                                                                                                                                                             
79945017797990010204501245489             7189002629837004001      142       22Census Tract 40.01 (part)                                                                                                                                                  
79945017797990010204501245489             7189002629837004002     1170       22Census Tract 40.02 (part)                                                                                                                                                  
79845017797990010204501245489             7243002405599           3775     1600Travelers Rest city (part)                                                                                                                                                 
79945017797990010204501245489             7243002405599003902      147       77Census Tract 39.02 (part)                                                                                                                                                  
79945017797990010204501245489             7243002405599003904     3628     1523Census Tract 39.04 (part)                                                                                                                                                  
79845017797990010204501245489             9999999999999          63981    27406Remainder of Greenville County (part)                                                                                                                                      
79945017797990010204501245489             9999999999999002402     6866     2727Census Tract 24.02 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002403     4187     1758Census Tract 24.03 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002404     3444     1982Census Tract 24.04                                                                                                                                                         
79945017797990010204501245489             9999999999999002503     1970      881Census Tract 25.03 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002505        0        0Census Tract 25.05 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002506     2697     1126Census Tract 25.06 (part)                                                                                                                                                  
79945017797990010204501245489             9999999999999002507     2184      944Census Tract 25.07 (part)                                                                                                                                                  
