79854017798050010006901717163             0694002391550           2499     1163Bethlehem village                                                                                                                                                          
79954017798050010006901717163             0694002391550001800       25       10Census Tract 18 (part)                                                                                                                                                     
79954017798050010006901717163             0694002391550001901     2474     1153Census Tract 19.01                                                                                                                                                         
79854017798050010006901717163             1591602391611            565      226Clearview village                                                                                                                                                          
79954017798050010006901717163             1591602391611002000      565      226Census Tract 20 (part)                                                                                                                                                     
79854017798050010006901717163             8093202391450            811      402Triadelphia town                                                                                                                                                           
79954017798050010006901717163             8093202391450001800       16        8Census Tract 18 (part)                                                                                                                                                     
79954017798050010006901717163             8093202391450002100      239      132Census Tract 21 (part)                                                                                                                                                     
79954017798050010006901717163             8093202391450002200      556      262Census Tract 22 (part)                                                                                                                                                     
79854017798050010006901717163             8273202391181            378      177Valley Grove village                                                                                                                                                       
79954017798050010006901717163             8273202391181002100      287      143Census Tract 21 (part)                                                                                                                                                     
79954017798050010006901717163             8273202391181002200       91       34Census Tract 22 (part)                                                                                                                                                     
79854017798050010006901717163             8587602391477           1542      263West Liberty town                                                                                                                                                          
79954017798050010006901717163             8587602391477002000       18        7Census Tract 20 (part)                                                                                                                                                     
79954017798050010006901717163             8587602391477002100     1524      256Census Tract 21 (part)                                                                                                                                                     
79854017798050010006901717163             8645202390672          28210    14516Wheeling city (part)                                                                                                                                                       
79954017798050010006901717163             8645202390672000200     3265     1623Census Tract 2 (part)                                                                                                                                                      
79954017798050010006901717163             8645202390672000300     1737      860Census Tract 3 (part)                                                                                                                                                      
79954017798050010006901717163             8645202390672000400     1161      835Census Tract 4                                                                                                                                                             
79954017798050010006901717163             8645202390672000500     1416      720Census Tract 5                                                                                                                                                             
79954017798050010006901717163             8645202390672000600     1100      607Census Tract 6                                                                                                                                                             
79954017798050010006901717163             8645202390672000700      990      549Census Tract 7                                                                                                                                                             
79954017798050010006901717163             8645202390672001300      972      439Census Tract 13 (part)                                                                                                                                                     
79954017798050010006901717163             8645202390672001400     3459     1561Census Tract 14                                                                                                                                                            
79954017798050010006901717163             8645202390672001500     2389     1135Census Tract 15 (part)                                                                                                                                                     
79954017798050010006901717163             8645202390672001600     2315     1131Census Tract 16 (part)                                                                                                                                                     
79954017798050010006901717163             8645202390672001700     1561      781Census Tract 17 (part)                                                                                                                                                     
79954017798050010006901717163             8645202390672001800     4061     2003Census Tract 18 (part)                                                                                                                                                     
79954017798050010006901717163             8645202390672002000      474      206Census Tract 20 (part)                                                                                                                                                     
79954017798050010006901717163             8645202390672002200        0        0Census Tract 22 (part)                                                                                                                                                     
79954017798050010006901717163             8645202390672002600     2240     1371Census Tract 26                                                                                                                                                            
79954017798050010006901717163             8645202390672002700     1070      695Census Tract 27                                                                                                                                                            
79854017798050010006901717163             9999999999999          10438     4425Remainder of Ohio County                                                                                                                                                   
79954017798050010006901717163             9999999999999000200      131       49Census Tract 2 (part)                                                                                                                                                      
79954017798050010006901717163             9999999999999000300        0        0Census Tract 3 (part)                                                                                                                                                      
79954017798050010006901717163             9999999999999001300      433      218Census Tract 13 (part)                                                                                                                                                     
79954017798050010006901717163             9999999999999001500      200       92Census Tract 15 (part)                                                                                                                                                     
79954017798050010006901717163             9999999999999001600        0        0Census Tract 16 (part)                                                                                                                                                     
79954017798050010006901717163             9999999999999001700       40       13Census Tract 17 (part)                                                                                                                                                     
79954017798050010006901717163             9999999999999001800     1159      486Census Tract 18 (part)                                                                                                                                                     
79954017798050010006901717163             9999999999999002000     4003     1685Census Tract 20 (part)                                                                                                                                                     
79954017798050010006901717163             9999999999999002100     2296      956Census Tract 21 (part)                                                                                                                                                     
79954017798050010006901717163             9999999999999002200     2176      926Census Tract 22 (part)                                                                                                                                                     
795540177980500200                                              150614    69381Harrison, Marion, Taylor & Doddridge Counties PUMA                                                                                                                         
79654017798050020001701689476                                     8202     3946Doddridge County                                                                                                                                                           
79854017798050020001701689476             8611602391481            825      452West Union town                                                                                                                                                            
79954017798050020001701689476             8611602391481965100      825      452Census Tract 9651 (part)                                                                                                                                                   
79854017798050020001701689476             9999999999999           7377     3494Remainder of Doddridge County                                                                                                                                              
79954017798050020001701689476             9999999999999965000     4104     2020Census Tract 9650                                                                                                                                                          
79954017798050020001701689476             9999999999999965100     3273     1474Census Tract 9651 (part)                                                                                                                                                   
79654017798050020003301718426                                    69099    31431Harrison County                                                                                                                                                            
79854017798050020003301718426             0190002390704            770      343Anmoore town                                                                                                                                                               
79954017798050020003301718426             0190002390704031000       13        3Census Tract 310 (part)                                                                                                                                                    
79954017798050020003301718426             0190002390704031100      757      340Census Tract 311 (part)                                                                                                                                                    
79854017798050020003301718426             1018002390568           8149     3678Bridgeport city                                                                                                                                                            
79954017798050020003301718426             1018002390568030800        0        0Census Tract 308 (part)                                                                                                                                                    
79954017798050020003301718426             1018002390568031100      191       82Census Tract 311 (part)                                                                                                                                                    
79954017798050020003301718426             1018002390568032000       21        8Census Tract 320 (part)                                                                                                                                                    
