79932017797930010103100858608             9999999999999002107      401      151Census Tract 21.07 (part)                                                                                                                                                  
79932017797930010103100858608             9999999999999002205       11        2Census Tract 22.05 (part)                                                                                                                                                  
79932017797930010103100858608             9999999999999002206        0        0Census Tract 22.06 (part)                                                                                                                                                  
79932017797930010103100858608             9999999999999002208       51       38Census Tract 22.08 (part)                                                                                                                                                  
79932017797930010103100858608             9999999999999002401        0        0Census Tract 24.01 (part)                                                                                                                                                  
79932017797930010103100858608             9999999999999002406        0        0Census Tract 24.06 (part)                                                                                                                                                  
79932017797930010103100858608             9999999999999002500       18        4Census Tract 25 (part)                                                                                                                                                     
79932017797930010103100858608             9999999999999002617       63       32Census Tract 26.17 (part)                                                                                                                                                  
79932017797930010103100858608             9999999999999002703        0        0Census Tract 27.03 (part)                                                                                                                                                  
795320177979300102                                              107562    47661Washoe County (South) PUMA                                                                                                                                                 
79632017797930010203100858608                                   107562    47661Washoe County (part)                                                                                                                                                       
79832017797930010203100858608             1409002407646           8544     3210Cold Springs CDP                                                                                                                                                           
79932017797930010203100858608             1409002407646002612     3389     1371Census Tract 26.12 (part)                                                                                                                                                  
79932017797930010203100858608             1409002407646002613     5155     1839Census Tract 26.13 (part)                                                                                                                                                  
79832017797930010203100858608             1670002583915            305      285Crystal Bay CDP                                                                                                                                                            
79932017797930010203100858608             1670002583915003308      305      285Census Tract 33.08 (part)                                                                                                                                                  
79932017797930010203100858608             1670002583915990000        0        0Census Tract 9900 (part)                                                                                                                                                   
79832017797930010203100858608             3510002408417           8777     7667Incline Village CDP                                                                                                                                                        
79932017797930010203100858608             3510002408417003305     1247      765Census Tract 33.05                                                                                                                                                         
79932017797930010203100858608             3510002408417003306     1730     1357Census Tract 33.06                                                                                                                                                         
79932017797930010203100858608             3510002408417003307     1231     1245Census Tract 33.07                                                                                                                                                         
79932017797930010203100858608             3510002408417003308     2028     1688Census Tract 33.08 (part)                                                                                                                                                  
79932017797930010203100858608             3510002408417003309     2541     2612Census Tract 33.09 (part)                                                                                                                                                  
79932017797930010203100858608             3510002408417980300        0        0Census Tract 9803 (part)                                                                                                                                                   
79832017797930010203100858608             4180002408597           1056      417Lemmon Valley CDP (part)                                                                                                                                                   
79932017797930010203100858608             4180002408597002611     1056      417Census Tract 26.11 (part)                                                                                                                                                  
79832017797930010203100858608             4800002583942           1174      483Mogul CDP (part)                                                                                                                                                           
79932017797930010203100858608             4800002583942002301     1071      440Census Tract 23.01 (part)                                                                                                                                                  
79932017797930010203100858608             4800002583942002302      103       43Census Tract 23.02 (part)                                                                                                                                                  
79832017797930010203100858608             6060002410923          52134    20757Reno city (part)                                                                                                                                                           
79932017797930010203100858608             6060002410923001010      200      157Census Tract 10.10 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923001011      176       69Census Tract 10.11 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923001012     2219      911Census Tract 10.12 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923001013      765      315Census Tract 10.13 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923001014     2338     1355Census Tract 10.14 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923001103     3463     1459Census Tract 11.03 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002103      655      291Census Tract 21.03 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002207     3572     1498Census Tract 22.07 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002209     5980     2206Census Tract 22.09 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002210      543      211Census Tract 22.10 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002301     3594     1704Census Tract 23.01 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002302      689      300Census Tract 23.02 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002412     2597      887Census Tract 24.12 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002603        2        1Census Tract 26.03 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002610     5243     1873Census Tract 26.10 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002611     4414     1319Census Tract 26.11 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002612        2        2Census Tract 26.12 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002613       18        6Census Tract 26.13 (part)                                                                                                                                                  
79932017797930010203100858608             6060002410923002614     3498     1445Census Tract 26.14                                                                                                                                                         
