79915017797820010000700365282             9999999999999040700      278      162Census Tract 407 (part)                                                                                                                                                    
79915017797820010000700365282             9999999999999040800       90       25Census Tract 408 (part)                                                                                                                                                    
79915017797820010000700365282             9999999999999040900      169      220Census Tract 409 (part)                                                                                                                                                    
79915017797820010000700365282             9999999999999041200      170       35Census Tract 412                                                                                                                                                           
79915017797820010000700365282             9999999999999940000      593      334Census Tract 9400 (part)                                                                                                                                                   
79915017797820010000700365282             9999999999999990100        0        0Census Tract 9901                                                                                                                                                          
79915017797820010000700365282             9999999999999990200        0        0Census Tract 9902                                                                                                                                                          
79915017797820010000700365282             9999999999999990300        0        0Census Tract 9903                                                                                                                                                          
79615017797820010000900365283                                   154834    70379Maui County                                                                                                                                                                
79815017797820010000900365283             0926002414025           8118     3400Haiku-Pauwela CDP                                                                                                                                                          
79915017797820010000900365283             0926002414025030201      731      344Census Tract 302.01 (part)                                                                                                                                                 
79915017797820010000900365283             0926002414025030202     7387     3056Census Tract 302.02 (part)                                                                                                                                                 
79915017797820010000900365283             0926002414025990200        0        0Census Tract 9902 (part)                                                                                                                                                   
79815017797820010000900365283             1090002414029            964      320Haliimaile CDP                                                                                                                                                             
79915017797820010000900365283             1090002414029030404      964      320Census Tract 304.04 (part)                                                                                                                                                 
79815017797820010000900365283             1135002414030           1235      506Hana CDP                                                                                                                                                                   
79915017797820010000900365283             1135002414030030100     1235      506Census Tract 301 (part)                                                                                                                                                    
79815017797820010000900365283             2000002414052           1045     1806Kaanapali CDP                                                                                                                                                              
79915017797820010000900365283             2000002414052031402        0        0Census Tract 314.02 (part)                                                                                                                                                 
79915017797820010000900365283             2000002414052031503     1045     1806Census Tract 315.03 (part)                                                                                                                                                 
79815017797820010000900365283             2270002414057          26337     7773Kahului CDP                                                                                                                                                                
79915017797820010000900365283             2270002414057031101     8167     2366Census Tract 311.01                                                                                                                                                        
79915017797820010000900365283             2270002414057031102     5426     1717Census Tract 311.02                                                                                                                                                        
79915017797820010000900365283             2270002414057031103     7580     2120Census Tract 311.03                                                                                                                                                        
79915017797820010000900365283             2270002414057031900     5164     1570Census Tract 319 (part)                                                                                                                                                    
79815017797820010000900365283             2972502414067            353     1015Kapalua CDP                                                                                                                                                                
79915017797820010000900365283             2972502414067031501      301      967Census Tract 315.01 (part)                                                                                                                                                 
79915017797820010000900365283             2972502414067031502       52       48Census Tract 315.02 (part)                                                                                                                                                 
79815017797820010000900365283             3110002414069           3425     1533Kaunakakai CDP                                                                                                                                                             
79915017797820010000900365283             3110002414069031700     3425     1533Census Tract 317 (part)                                                                                                                                                    
79815017797820010000900365283             3605002583419           1612      619Keokea CDP                                                                                                                                                                 
79915017797820010000900365283             3605002583419030301     1612      619Census Tract 303.01 (part)                                                                                                                                                 
79915017797820010000900365283             3605002583419030303        0        0Census Tract 303.03 (part)                                                                                                                                                 
79815017797820010000900365283             3650002414074          20881    11994Kihei CDP                                                                                                                                                                  
79915017797820010000900365283             3650002414074030705     3788     1214Census Tract 307.05 (part)                                                                                                                                                 
79915017797820010000900365283             3650002414074030706     2448     1231Census Tract 307.06 (part)                                                                                                                                                 
79915017797820010000900365283             3650002414074030707     8009     4410Census Tract 307.07                                                                                                                                                        
79915017797820010000900365283             3650002414074030708     2909     1311Census Tract 307.08                                                                                                                                                        
79915017797820010000900365283             3650002414074030709     3727     3828Census Tract 307.09 (part)                                                                                                                                                 
79815017797820010000900365283             3950002414078           2027      671Kualapuu CDP                                                                                                                                                               
79915017797820010000900365283             3950002414078031801     2027      671Census Tract 318.01 (part)                                                                                                                                                 
79815017797820010000900365283             4160002583421           6452     2975Kula CDP                                                                                                                                                                   
79915017797820010000900365283             4160002583421030301     6092     2824Census Tract 303.01 (part)                                                                                                                                                 
79915017797820010000900365283             4160002583421030402      360      151Census Tract 304.02 (part)                                                                                                                                                 
79815017797820010000900365283             4295002414081          11704     4049Lahaina CDP                                                                                                                                                                
79915017797820010000900365283             4295002414081031402     2998      925Census Tract 314.02 (part)                                                                                                                                                 
79915017797820010000900365283             4295002414081031404     3246     1695Census Tract 314.04 (part)                                                                                                                                                 
79915017797820010000900365283             4295002414081031405     5460     1429Census Tract 314.05 (part)                                                                                                                                                 
79815017797820010000900365283             4370002414083           3102     1452Lanai City CDP                                                                                                                                                             
79915017797820010000900365283             4370002414083031601     3102     1452Census Tract 316.01 (part)                                                                                                                                                 
79815017797820010000900365283             4407502583422            588      287Launiupoko CDP                                                                                                                                                             
79915017797820010000900365283             4407502583422031404        4        6Census Tract 314.04 (part)                                                                                                                                                 
79915017797820010000900365283             4407502583422031405       31       14Census Tract 314.05 (part)                                                                                                                                                 
79915017797820010000900365283             4407502583422032000      553      267Census Tract 320.00 (part)                                                                                                                                                 
79815017797820010000900365283             4640002414089            352      587Maalaea CDP                                                                                                                                                                
79915017797820010000900365283             4640002414089030706        0        0Census Tract 307.06 (part)                                                                                                                                                 
79915017797820010000900365283             4640002414089032000      352      587Census Tract 320.00 (part)                                                                                                                                                 
79915017797820010000900365283             4640002414089990200        0        0Census Tract 9902 (part)                                                                                                                                                   
79815017797820010000900365283             4705002583423            880      360Mahinahina CDP                                                                                                                                                             
79915017797820010000900365283             4705002583423031502      880      360Census Tract 315.02 (part)                                                                                                                                                 
79915017797820010000900365283             4705002583423031503        0        0Census Tract 315.03 (part)                                                                                                                                                 
79815017797820010000900365283             4805002414096           7184     2702Makawao CDP                                                                                                                                                                
79915017797820010000900365283             4805002414096030402      702      241Census Tract 304.02 (part)                                                                                                                                                 
79915017797820010000900365283             4805002414096030403     2196      824Census Tract 304.03 (part)                                                                                                                                                 
79915017797820010000900365283             4805002414096030404     4286     1637Census Tract 304.04 (part)                                                                                                                                                 
79815017797820010000900365283             4835002583424             99       96Makena CDP                                                                                                                                                                 
79915017797820010000900365283             4835002583424030301       29       19Census Tract 303.01 (part)                                                                                                                                                 
79915017797820010000900365283             4835002583424030303       70       77Census Tract 303.03 (part)                                                                                                                                                 
79815017797820010000900365283             4942502583425             29       84Manele CDP                                                                                                                                                                 
79915017797820010000900365283             4942502583425031601       29       84Census Tract 316.01 (part)                                                                                                                                                 
79815017797820010000900365283             5015002414098            376      160Maunaloa CDP                                                                                                                                                               
79915017797820010000900365283             5015002414098031801      376      160Census Tract 318.01 (part)                                                                                                                                                 
79815017797820010000900365283             5410002414108           7261     4284Napili-Honokowai CDP                                                                                                                                                       
79915017797820010000900365283             5410002414108031501     2067      835Census Tract 315.01 (part)                                                                                                                                                 
79915017797820010000900365283             5410002414108031502     3873     2739Census Tract 315.02 (part)                                                                                                                                                 
79915017797820010000900365283             5410002414108031503     1321      710Census Tract 315.03 (part)                                                                                                                                                 
79815017797820010000900365283             5735002583428           1084      503Olinda CDP                                                                                                                                                                 
79915017797820010000900365283             5735002583428030201        0        0Census Tract 302.01 (part)                                                                                                                                                 
79915017797820010000900365283             5735002583428030402       11        3Census Tract 304.02 (part)                                                                                                                                                 
79915017797820010000900365283             5735002583428030403     1073      500Census Tract 304.03 (part)                                                                                                                                                 
79815017797820010000900365283             5765002583429             80       40Olowalu CDP                                                                                                                                                                
79915017797820010000900365283             5765002583429032000       80       40Census Tract 320.00 (part)                                                                                                                                                 
79815017797820010000900365283             6020002414117           2668     1052Paia CDP                                                                                                                                                                   
79915017797820010000900365283             6020002414117030501     2668     1052Census Tract 305.01 (part)                                                                                                                                                 
79815017797820010000900365283             6590002414128           7574     2900Pukalani CDP                                                                                                                                                               
79915017797820010000900365283             6590002414128030402     7574     2900Census Tract 304.02 (part)                                                                                                                                                 
79815017797820010000900365283             7070002583430            425      255Ualapu'e CDP                                                                                                                                                               
79915017797820010000900365283             7070002583430031700      425      255Census Tract 317 (part)                                                                                                                                                    
79815017797820010000900365283             7551002414153           8841     2459Waihee-Waiehu CDP                                                                                                                                                          
79915017797820010000900365283             7551002414153030800     2851      873Census Tract 308 (part)                                                                                                                                                    
79915017797820010000900365283             7551002414153030903     5660     1483Census Tract 309.03 (part)                                                                                                                                                 
79915017797820010000900365283             7551002414153031000      330      103Census Tract 310 (part)                                                                                                                                                    
79815017797820010000900365283             7595002414155           2965      909Waikapu CDP                                                                                                                                                                
79915017797820010000900365283             7595002414155030800     2965      909Census Tract 308 (part)                                                                                                                                                    
79815017797820010000900365283             7692502583432           5938     5987Wailea CDP                                                                                                                                                                 
79915017797820010000900365283             7692502583432030301        0        0Census Tract 303.01 (part)                                                                                                                                                 
79915017797820010000900365283             7692502583432030303     3497     3628Census Tract 303.03 (part)                                                                                                                                                 
79915017797820010000900365283             7692502583432030709        0        0Census Tract 307.09 (part)                                                                                                                                                 
79915017797820010000900365283             7692502583432030710     2441     2359Census Tract 307.10                                                                                                                                                        
79815017797820010000900365283             7745002414160          15313     6250Wailuku CDP                                                                                                                                                                
79915017797820010000900365283             7745002414160030800      594      214Census Tract 308 (part)                                                                                                                                                    
79915017797820010000900365283             7745002414160030901     2617     1130Census Tract 309.01                                                                                                                                                        
79915017797820010000900365283             7745002414160030902     3205     1266Census Tract 309.02                                                                                                                                                        
79915017797820010000900365283             7745002414160030903      821      252Census Tract 309.03 (part)                                                                                                                                                 
79915017797820010000900365283             7745002414160031000     8076     3388Census Tract 310 (part)                                                                                                                                                    
79815017797820010000900365283             9999999999999           5922     3351Remainder of Maui County                                                                                                                                                   
79915017797820010000900365283             9999999999999030100     1056      629Census Tract 301 (part)                                                                                                                                                    
