79928017797900010003300695741             9999999999999071200     3177     1336Census Tract 712                                                                                                                                                           
795280177979000200                                              150031    67189Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties PUMA                                                                                    
79628017797900020000300711755                                    37057    17077Alcorn County                                                                                                                                                              
79828017797900020000300711755             1570002404132          14573     7149Corinth city                                                                                                                                                               
79928017797900020000300711755             1570002404132950100      763      356Census Tract 9501 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950200     6911     3336Census Tract 9502                                                                                                                                                          
79928017797900020000300711755             1570002404132950300     2763     1396Census Tract 9503 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950400        0        0Census Tract 9504 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950500     4136     2061Census Tract 9505 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950600        0        0Census Tract 9506 (part)                                                                                                                                                   
79828017797900020000300711755             2442002406492           2186      966Farmington town                                                                                                                                                            
79928017797900020000300711755             2442002406492950100     2033      900Census Tract 9501 (part)                                                                                                                                                   
79928017797900020000300711755             2442002406492950600      153       66Census Tract 9506 (part)                                                                                                                                                   
79828017797900020000300711755             2754002406573            412      178Glen town                                                                                                                                                                  
79928017797900020000300711755             2754002406573950600      412      178Census Tract 9506 (part)                                                                                                                                                   
79828017797900020000300711755             3836002407487            209       85Kossuth village                                                                                                                                                            
79928017797900020000300711755             3836002407487950400      209       85Census Tract 9504 (part)                                                                                                                                                   
79828017797900020000300711755             6256002407219            317      151Rienzi town                                                                                                                                                                
79928017797900020000300711755             6256002407219950700      317      151Census Tract 9507 (part)                                                                                                                                                   
79828017797900020000300711755             9999999999999          19360     8548Remainder of Alcorn County                                                                                                                                                 
79928017797900020000300711755             9999999999999950100     2810     1280Census Tract 9501 (part)                                                                                                                                                   
79928017797900020000300711755             9999999999999950300      880      383Census Tract 9503 (part)                                                                                                                                                   
79928017797900020000300711755             9999999999999950400     5350     2397Census Tract 9504 (part)                                                                                                                                                   
79928017797900020000300711755             9999999999999950500     2450     1065Census Tract 9505 (part)                                                                                                                                                   
79928017797900020000300711755             9999999999999950600     3912     1664Census Tract 9506 (part)                                                                                                                                                   
79928017797900020000300711755             9999999999999950700     3958     1759Census Tract 9507 (part)                                                                                                                                                   
79628017797900020000900695729                                     8729     4186Benton County                                                                                                                                                              
79828017797900020000900695729             0214002405174            569      254Ashland town                                                                                                                                                               
79928017797900020000900695729             0214002405174950100      569      254Census Tract 9501 (part)                                                                                                                                                   
79828017797900020000900695729             3202002405823            601      254Hickory Flat town                                                                                                                                                          
79928017797900020000900695729             3202002405823950200      601      254Census Tract 9502 (part)                                                                                                                                                   
79828017797900020000900695729             6896002407363            319      308Snow Lake Shores town                                                                                                                                                      
79928017797900020000900695729             6896002407363950100      319      308Census Tract 9501 (part)                                                                                                                                                   
79828017797900020000900695729             9999999999999           7240     3370Remainder of Benton County                                                                                                                                                 
79928017797900020000900695729             9999999999999950100     5174     2433Census Tract 9501 (part)                                                                                                                                                   
79928017797900020000900695729             9999999999999950200     2066      937Census Tract 9502 (part)                                                                                                                                                   
79628017797900020009300695770                                    37144    14881Marshall County                                                                                                                                                            
79828017797900020009300695770             1006002405352           1302      572Byhalia town                                                                                                                                                               
79928017797900020009300695770             1006002405352950200     1302      572Census Tract 9502 (part)                                                                                                                                                   
79828017797900020009300695770             3310002404717           7699     2697Holly Springs city                                                                                                                                                         
79928017797900020009300695770             3310002404717950300       72       33Census Tract 9503 (part)                                                                                                                                                   
79928017797900020009300695770             3310002404717950401     2808     1232Census Tract 9504.01 (part)                                                                                                                                                
79928017797900020009300695770             3310002404717950402     4787     1424Census Tract 9504.02 (part)                                                                                                                                                
79928017797900020009300695770             3310002404717950500       32        8Census Tract 9505 (part)                                                                                                                                                   
79828017797900020009300695770             5972002407152            523      218Potts Camp town                                                                                                                                                            
79928017797900020009300695770             5972002407152950500      523      218Census Tract 9505 (part)                                                                                                                                                   
79828017797900020009300695770             9999999999999          27620    11394Remainder of Marshall County                                                                                                                                               
79928017797900020009300695770             9999999999999950100     6699     2783Census Tract 9501                                                                                                                                                          
79928017797900020009300695770             9999999999999950200     7098     2890Census Tract 9502 (part)                                                                                                                                                   
79928017797900020009300695770             9999999999999950300     7066     2891Census Tract 9503 (part)                                                                                                                                                   
79928017797900020009300695770             9999999999999950401       93       39Census Tract 9504.01 (part)                                                                                                                                                
79928017797900020009300695770             9999999999999950402      215       94Census Tract 9504.02 (part)                                                                                                                                                
79928017797900020009300695770             9999999999999950500     6449     2697Census Tract 9505 (part)                                                                                                                                                   
79628017797900020011700695779                                    25276    11054Prentiss County                                                                                                                                                            
79828017797900020011700695779             0270002403150           1912      874Baldwyn city (part)                                                                                                                                                        
79928017797900020011700695779             0270002403150950400       20        5Census Tract 9504 (part)                                                                                                                                                   
79928017797900020011700695779             0270002403150950500     1892      869Census Tract 9505 (part)                                                                                                                                                   
79828017797900020011700695779             0778002403898           8743     3701Booneville city                                                                                                                                                            
79928017797900020011700695779             0778002403898950100      778      311Census Tract 9501 (part)                                                                                                                                                   
79928017797900020011700695779             0778002403898950200     1485      628Census Tract 9502 (part)                                                                                                                                                   
79928017797900020011700695779             0778002403898950300     6480     2762Census Tract 9503 (part)                                                                                                                                                   
79828017797900020011700695779             3704002405924            480      218Jumpertown town                                                                                                                                                            
79928017797900020011700695779             3704002405924950200      480      218Census Tract 9502 (part)                                                                                                                                                   
79828017797900020011700695779             4512002406096            256      127Marietta town                                                                                                                                                              
79928017797900020011700695779             4512002406096950400      256      127Census Tract 9504 (part)                                                                                                                                                   
79828017797900020011700695779             9999999999999          13885     6134Remainder of Prentiss County                                                                                                                                               
79928017797900020011700695779             9999999999999950100     5038     2207Census Tract 9501 (part)                                                                                                                                                   
79928017797900020011700695779             9999999999999950200     4428     1880Census Tract 9502 (part)                                                                                                                                                   
79928017797900020011700695779             9999999999999950300        0        0Census Tract 9503 (part)                                                                                                                                                   
79928017797900020011700695779             9999999999999950400     4349     2017Census Tract 9504 (part)                                                                                                                                                   
79928017797900020011700695779             9999999999999950500       70       30Census Tract 9505 (part)                                                                                                                                                   
79628017797900020013900695790                                    22232     9696Tippah County                                                                                                                                                              
79828017797900020013900695790             0706002405284            920      319Blue Mountain town                                                                                                                                                         
79928017797900020013900695790             0706002405284950400      920      319Census Tract 9504 (part)                                                                                                                                                   
79828017797900020013900695790             2034002406403            470      192Dumas town                                                                                                                                                                 
79928017797900020013900695790             2034002406403950400      470      192Census Tract 9504 (part)                                                                                                                                                   
79828017797900020013900695790             2422002406487            514      225Falkner town                                                                                                                                                               
79928017797900020013900695790             2422002406487950100      265      121Census Tract 9501 (part)                                                                                                                                                   
79928017797900020013900695790             2422002406487950200      249      104Census Tract 9502 (part)                                                                                                                                                   
79828017797900020013900695790             6260002404621           5395     2386Ripley city                                                                                                                                                                
79928017797900020013900695790             6260002404621950200     1309      547Census Tract 9502 (part)                                                                                                                                                   
79928017797900020013900695790             6260002404621950300     2753     1265Census Tract 9503 (part)                                                                                                                                                   
79928017797900020013900695790             6260002404621950400     1333      574Census Tract 9504 (part)                                                                                                                                                   
79828017797900020013900695790             7748002406825            771      349Walnut town                                                                                                                                                                
79928017797900020013900695790             7748002406825950100      771      349Census Tract 9501 (part)                                                                                                                                                   
79828017797900020013900695790             9999999999999          14162     6225Remainder of Tippah County                                                                                                                                                 
79928017797900020013900695790             9999999999999950100     4016     1777Census Tract 9501 (part)                                                                                                                                                   
79928017797900020013900695790             9999999999999950200     5056     2223Census Tract 9502 (part)                                                                                                                                                   
79928017797900020013900695790             9999999999999950300        0        0Census Tract 9503 (part)                                                                                                                                                   
79928017797900020013900695790             9999999999999950400     5090     2225Census Tract 9504 (part)                                                                                                                                                   
79628017797900020014100695791                                    19593    10295Tishomingo County                                                                                                                                                          
79828017797900020014100695791             0510002405237           2021      911Belmont town                                                                                                                                                               
79928017797900020014100695791             0510002405237950400     2021      911Census Tract 9504 (part)                                                                                                                                                   
79828017797900020014100695791             0982002405349            936      450Burnsville town                                                                                                                                                            
79928017797900020014100695791             0982002405349950100        4        1Census Tract 9501 (part)                                                                                                                                                   
79928017797900020014100695791             0982002405349950300      932      449Census Tract 9503 (part)                                                                                                                                                   
79828017797900020014100695791             2794002406582            191      128Golden town                                                                                                                                                                
79928017797900020014100695791             2794002406582950400      191      128Census Tract 9504 (part)                                                                                                                                                   
79828017797900020014100695791             3530002404773           3028     1547Iuka city                                                                                                                                                                  
79928017797900020014100695791             3530002404773950200     2269     1213Census Tract 9502 (part)                                                                                                                                                   
79928017797900020014100695791             3530002404773950300      759      334Census Tract 9503 (part)                                                                                                                                                   
79828017797900020014100695791             5500002407516            116       62Paden village                                                                                                                                                              
79928017797900020014100695791             5500002407516950400      116       62Census Tract 9504 (part)                                                                                                                                                   
79828017797900020014100695791             7372002406739            339      192Tishomingo town                                                                                                                                                            
79928017797900020014100695791             7372002406739950400      339      192Census Tract 9504 (part)                                                                                                                                                   
79828017797900020014100695791             9999999999999          12962     7005Remainder of Tishomingo County                                                                                                                                             
79928017797900020014100695791             9999999999999950100     3248     2435Census Tract 9501 (part)                                                                                                                                                   
79928017797900020014100695791             9999999999999950200      286      147Census Tract 9502 (part)                                                                                                                                                   
79928017797900020014100695791             9999999999999950300     4546     2156Census Tract 9503 (part)                                                                                                                                                   
79928017797900020014100695791             9999999999999950400     4882     2267Census Tract 9504 (part)                                                                                                                                                   
