79916017797830010005700395613             0973002409886005600      260      127Census Tract 56 (part)                                                                                                                                                     
79816017797830010005700395613             2089002410306            506      221Deary city                                                                                                                                                                 
79916017797830010005700395613             2089002410306005600      506      221Census Tract 56 (part)                                                                                                                                                     
79816017797830010005700395613             3016002410580            955      400Genesee city                                                                                                                                                               
79916017797830010005700395613             3016002410580005700      955      400Census Tract 57 (part)                                                                                                                                                     
79816017797830010005700395613             4213002410155            579      294Juliaetta city                                                                                                                                                             
79916017797830010005700395613             4213002410155005700      579      294Census Tract 57 (part)                                                                                                                                                     
79816017797830010005700395613             4276002410179            303      166Kendrick city                                                                                                                                                              
79916017797830010005700395613             4276002410179005700      303      166Census Tract 57 (part)                                                                                                                                                     
79816017797830010005700395613             5455002411172          23800     9879Moscow city                                                                                                                                                                
79916017797830010005700395613             5455002411172005100     7057     3345Census Tract 51 (part)                                                                                                                                                     
79916017797830010005700395613             5455002411172005200     5670     2370Census Tract 52 (part)                                                                                                                                                     
79916017797830010005700395613             5455002411172005300     5298     2627Census Tract 53 (part)                                                                                                                                                     
79916017797830010005700395613             5455002411172005400     5775     1537Census Tract 54 (part)                                                                                                                                                     
79816017797830010005700395613             5887002411322            187       90Onaway city                                                                                                                                                                
79916017797830010005700395613             5887002411322005500      187       90Census Tract 55 (part)                                                                                                                                                     
79816017797830010005700395613             6490002411478            804      368Potlatch city                                                                                                                                                              
79916017797830010005700395613             6490002411478005500      804      368Census Tract 55 (part)                                                                                                                                                     
79816017797830010005700395613             6562002585582            148       72Princeton CDP                                                                                                                                                              
79916017797830010005700395613             6562002585582005500      148       72Census Tract 55 (part)                                                                                                                                                     
79816017797830010005700395613             8236002412099            862      355Troy city                                                                                                                                                                  
79916017797830010005700395613             8236002412099005600      862      355Census Tract 56 (part)                                                                                                                                                     
79816017797830010005700395613             9999999999999           8840     4016Remainder of Latah County                                                                                                                                                  
79916017797830010005700395613             9999999999999005100      526      225Census Tract 51 (part)                                                                                                                                                     
79916017797830010005700395613             9999999999999005200      765      356Census Tract 52 (part)                                                                                                                                                     
79916017797830010005700395613             9999999999999005300     1163      504Census Tract 53 (part)                                                                                                                                                     
79916017797830010005700395613             9999999999999005400      660      309Census Tract 54 (part)                                                                                                                                                     
79916017797830010005700395613             9999999999999005500     2678     1197Census Tract 55 (part)                                                                                                                                                     
79916017797830010005700395613             9999999999999005600     1927      880Census Tract 56 (part)                                                                                                                                                     
79916017797830010005700395613             9999999999999005700     1121      545Census Tract 57 (part)                                                                                                                                                     
79616017797830010007901702379                                    12765     7061Shoshone County                                                                                                                                                            
79816017797830010007901702379             4258002410173           2120     1202Kellogg city                                                                                                                                                               
79916017797830010007901702379             4258002410173960300     2120     1202Census Tract 9603 (part)                                                                                                                                                   
79816017797830010007901702379             5563002411194            692      434Mullan city                                                                                                                                                                
79916017797830010007901702379             5563002411194960400      692      434Census Tract 9604 (part)                                                                                                                                                   
79816017797830010007901702379             5959002411340           1555      777Osburn city                                                                                                                                                                
79916017797830010007901702379             5959002411340960400     1555      777Census Tract 9604 (part)                                                                                                                                                   
79816017797830010007901702379             6310002411424           1619      810Pinehurst city                                                                                                                                                             
79916017797830010007901702379             6310002411424960200     1619      810Census Tract 9602 (part)                                                                                                                                                   
79816017797830010007901702379             7507002411909            627      370Smelterville city                                                                                                                                                          
79916017797830010007901702379             7507002411909960300      627      370Census Tract 9603 (part)                                                                                                                                                   
79816017797830010007901702379             8479002412169            784      535Wallace city                                                                                                                                                               
