79956017798070010002301605076             7637002413383978000      366      171Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             7840002409365            192       96Turnerville CDP                                                                                                                                                            
79956017798070010002301605076             7840002409365978000      158       79Census Tract 9780 (part)                                                                                                                                                   
79956017798070010002301605076             7840002409365978100       34       17Census Tract 9781 (part)                                                                                                                                                   
79856017798070010002301605076             9999999999999           5616     2862Remainder of Lincoln County                                                                                                                                                
79956017798070010002301605076             9999999999999978000     2325     1253Census Tract 9780 (part)                                                                                                                                                   
79956017798070010002301605076             9999999999999978100     2490     1008Census Tract 9781 (part)                                                                                                                                                   
79956017798070010002301605076             9999999999999978200      705      561Census Tract 9782 (part)                                                                                                                                                   
79956017798070010002301605076             9999999999999978400       96       40Census Tract 9784 (part)                                                                                                                                                   
79656017798070010002901605079                                    28205    13562Park County                                                                                                                                                                
79856017798070010002901605079             1576002409499           9520     4650Cody city                                                                                                                                                                  
79956017798070010002901605079             1576002409499965300      225       97Census Tract 9653 (part)                                                                                                                                                   
79956017798070010002901605079             1576002409499965400     5317     2546Census Tract 9654 (part)                                                                                                                                                   
79956017798070010002901605079             1576002409499965500     3978     2007Census Tract 9655 (part)                                                                                                                                                   
79856017798070010002901605079             2982502412654             19       12Frannie town (part)                                                                                                                                                        
79956017798070010002901605079             2982502412654965100       19       12Census Tract 9651 (part)                                                                                                                                                   
79856017798070010002901605079             3098502408283            115       53Garland CDP                                                                                                                                                                
79956017798070010002901605079             3098502408283965100      115       53Census Tract 9651 (part)                                                                                                                                                   
79856017798070010002901605079             4977502585082            263      124Mammoth CDP                                                                                                                                                                
79956017798070010002901605079             4977502585082965300      263      124Census Tract 9653 (part)                                                                                                                                                   
79856017798070010002901605079             5172002412979            327      177Meeteetse town                                                                                                                                                             
79956017798070010002901605079             5172002412979965300      327      177Census Tract 9653 (part)                                                                                                                                                   
79856017798070010002901605079             6245002411481           6314     2627Powell city                                                                                                                                                                
79956017798070010002901605079             6245002411481965100      206       80Census Tract 9651 (part)                                                                                                                                                   
79956017798070010002901605079             6245002411481965200     6108     2547Census Tract 9652 (part)                                                                                                                                                   
79856017798070010002901605079             6346502409126            280      128Ralston CDP                                                                                                                                                                
