STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
18,19,50604,18019050604,6005,2614,P,6943762,6793266,21,111,7502,21111007502,5339,2342,P,28132966,20704357,2236,0,0.03,0,0.01,0,0,0,0,0,0,0
18,129,40500,18129040500,3317,1392,P,350557320,333623837,21,101,20900,21101020900,7314,3061,P,499127763,468144370,360918,349628,0.1,0.1,0.07,0.07,0,0,0,0,0,0
21,1,970100,21001970100,1727,780,W,183221785,175412247,21,1,970100,21001970100,1727,780,P,183228812,175418999,183221785,175412247,100,100,100,100,1727,100,100,780,100,100
21,1,970200,21001970200,1722,930,W,111755100,104299885,21,1,970200,21001970200,1722,930,W,111755100,104299885,111755100,104299885,100,100,100,100,1722,100,100,930,100,100
21,1,970300,21001970300,3017,1449,P,192347829,191449604,21,1,970300,21001970300,3016,1448,P,192410817,191511732,192335102,191436877,99.99,99.99,99.96,99.96,3016,99.97,100,1448,99.93,100
21,1,970300,21001970300,3017,1449,P,192347829,191449604,21,45,950500,21045950500,2557,1146,P,207899803,207354520,719,719,0,0,0,0,0,0,0,0,0,0
21,1,970300,21001970300,3017,1449,P,192347829,191449604,21,207,960101,21207960101,3602,1678,P,96814192,96575507,11642,11642,0.01,0.01,0.01,0.01,1,0.03,0.03,1,0.07,0.06
21,1,970300,21001970300,3017,1449,P,192347829,191449604,21,207,960102,21207960102,5186,2479,P,79136354,78352381,366,366,0,0,0,0,0,0,0,0,0,0
21,1,970400,21001970400,8334,3563,P,173640448,172404472,21,1,970401,21001970401,4070,1973,W,106076755,105370153,106076755,105370153,61.09,61.12,100,100,4070,48.84,100,1973,55.37,100
21,1,970400,21001970400,8334,3563,P,173640448,172404472,21,1,970402,21001970402,4261,1589,W,67549692,67020318,67549692,67020318,38.9,38.87,100,100,4261,51.13,100,1589,44.6,100
21,1,970400,21001970400,8334,3563,P,173640448,172404472,21,1,970500,21001970500,2457,1162,P,264311651,263691194,14001,14001,0.01,0.01,0.01,0.01,3,0.04,0.12,1,0.03,0.09
21,1,970500,21001970500,2456,1167,P,270339591,269717162,21,1,970500,21001970500,2457,1162,P,264311651,263691194,264296766,263676309,97.76,97.76,99.99,99.99,2454,99.92,99.88,1161,99.49,99.91
21,1,970500,21001970500,2456,1167,P,270339591,269717162,21,1,970600,21001970600,1403,686,P,142776283,142365093,6040009,6038720,2.23,2.24,4.23,4.24,2,0.08,0.14,6,0.51,0.87
21,1,970500,21001970500,2456,1167,P,270339591,269717162,21,169,960300,21169960300,4747,2252,P,337088009,336145481,2816,2133,0,0,0,0,0,0,0,0,0,0
21,1,970600,21001970600,1401,680,P,136734469,136323787,21,1,970300,21001970300,3016,1448,P,192410817,191511732,2078,1218,0,0,0,0,0,0,0,0,0,0
21,1,970600,21001970600,1401,680,P,136734469,136323787,21,1,970600,21001970600,1403,686,P,142776283,142365093,136728727,136318905,100,100,95.76,95.75,1401,100,99.86,680,100,99.13
21,1,970600,21001970600,1401,680,P,136734469,136323787,21,207,960200,21207960200,1612,870,P,165041261,163274973,3664,3664,0,0,0,0,0,0,0,0,0,0
21,3,980100,21003980100,3188,1779,P,219966259,208575891,21,3,920100,21003920100,3185,1778,W,219947033,208558158,219947033,208558158,99.99,99.99,100,100,3185,99.91,100,1778,99.94,100
21,3,980100,21003980100,3188,1779,P,219966259,208575891,21,3,920400,21003920400,4492,2098,P,137238106,133105067,16430,16430,0.01,0.01,0.01,0.01,3,0.09,0.07,1,0.06,0.05
21,3,980100,21003980100,3188,1779,P,219966259,208575891,21,9,951000,21009951000,3507,1532,P,178049848,168764145,2796,1303,0,0,0,0,0,0,0,0,0,0
21,3,980200,21003980200,2703,1051,W,147514254,146606957,21,3,920200,21003920200,2703,1051,P,147526156,146615125,147514254,146606957,100,100,99.99,99.99,2703,100,100,1051,100,100
21,3,980300,21003980300,4685,2161,P,70056298,69833587,21,3,920300,21003920300,4685,2161,W,70056235,69833524,70056235,69833524,100,100,100,100,4685,100,100,2161,100,100
21,3,980300,21003980300,4685,2161,P,70056298,69833587,21,3,920400,21003920400,4492,2098,P,137238106,133105067,63,63,0,0,0,0,0,0,0,0,0,0
21,3,980400,21003980400,4489,2097,W,137221613,133088574,21,3,920400,21003920400,4492,2098,P,137238106,133105067,137221613,133088574,100,100,99.99,99.99,4489,100,99.93,2097,100,99.95
21,3,980500,21003980500,1600,749,P,180387728,178144969,21,3,920500,21003920500,1600,749,P,180390126,178147367,180383692,178140933,100,100,100,100,1600,100,100,749,100,100
21,3,980500,21003980500,1600,749,P,180387728,178144969,21,3,920600,21003920600,3291,1470,P,156165307,155570868,203,203,0,0,0,0,0,0,0,0,0,0
21,3,980600,21003980600,3289,1468,P,156158062,155562369,21,3,920600,21003920600,3291,1470,P,156165307,155570868,156156808,155562369,100,100,99.99,99.99,3289,100,99.94,1468,100,99.86
21,3,980600,21003980600,3289,1468,P,156158062,155562369,21,213,970100,21213970100,1865,777,P,167159422,166102869,1254,0,0,0,0,0,0,0,0,0,0,0
21,5,950100,21005950100,8164,3415,P,77298767,75416006,21,5,950100,21005950100,8164,3415,P,77301730,75413265,77296026,75413265,100,100,99.99,100,8164,100,100,3415,100,100
21,5,950100,21005950100,8164,3415,P,77298767,75416006,21,73,71000,21073071000,5957,2315,P,52815304,51703570,2741,2741,0,0,0.01,0.01,0,0,0,0,0,0
21,5,950200,21005950200,9023,3862,P,86415723,85127570,21,5,950201,21005950201,5372,2369,W,11189843,11081378,11189843,11081378,12.95,13.02,100,100,5372,59.54,100,2369,61.34,100
21,5,950200,21005950200,9023,3862,P,86415723,85127570,21,5,950202,21005950202,3651,1493,W,75225880,74046192,75225880,74046192,87.05,86.98,100,100,3651,40.46,100,1493,38.66,100
21,5,950300,21005950300,1969,839,W,158652337,157432216,21,5,950300,21005950300,1969,839,W,158652337,157432216,158652337,157432216,100,100,100,100,1969,100,100,839,100,100
21,5,950400,21005950400,2265,1011,W,206687472,204769371,21,5,950400,21005950400,2265,1011,W,206687472,204769371,206687472,204769371,100,100,100,100,2265,100,100,1011,100,100
21,7,950100,21007950100,4259,1989,W,327101278,300736607,21,7,950100,21007950100,4259,1989,W,327101278,300736607,327101278,300736607,100,100,100,100,4259,100,100,1989,100,100
21,7,950200,21007950200,1494,715,W,196218530,161124557,21,7,950200,21007950200,1494,715,W,196218530,161124557,196218530,161124557,100,100,100,100,1494,100,100,715,100,100
21,7,950300,21007950300,2496,1181,P,185732213,177141305,21,7,950300,21007950300,2496,1181,P,185532830,176982410,185528430,176979192,99.89,99.91,100,100,2496,100,100,1181,100,100
21,7,950300,21007950300,2496,1181,P,185732213,177141305,21,39,960200,21039960200,1854,926,P,224272377,203456743,203783,162113,0.11,0.09,0.09,0.08,0,0,0,0,0,0
21,9,950100,21009950100,3592,1510,W,189922146,187788708,21,9,950100,21009950100,3592,1510,W,189922146,187788708,189922146,187788708,100,100,100,100,3592,100,100,1510,100,100
21,9,950200,21009950200,3642,1718,W,80285426,79691633,21,9,950200,21009950200,3642,1718,W,80285426,79691633,80285426,79691633,100,100,100,100,3642,100,100,1718,100,100
21,9,950300,21009950300,3065,1335,W,108408199,107586056,21,9,950300,21009950300,3065,1335,W,108408199,107586056,108408199,107586056,100,100,100,100,3065,100,100,1335,100,100
21,9,950400,21009950400,5910,2834,W,20487702,20372711,21,9,950400,21009950400,5910,2834,W,20487702,20372711,20487702,20372711,100,100,100,100,5910,100,100,2834,100,100
21,9,950500,21009950500,3698,1752,W,18347170,18140378,21,9,950500,21009950500,3698,1752,W,18347170,18140378,18347170,18140378,100,100,100,100,3698,100,100,1752,100,100
21,9,950600,21009950600,5937,2826,W,70528470,70073359,21,9,950600,21009950600,5937,2826,W,70528470,70073359,70528470,70073359,100,100,100,100,5937,100,100,2826,100,100
21,9,950700,21009950700,5878,2427,W,114765847,111648033,21,9,950700,21009950700,5878,2427,W,114765847,111648033,114765847,111648033,100,100,100,100,5878,100,100,2427,100,100
21,9,950800,21009950800,3337,1439,W,185699906,184241811,21,9,950800,21009950800,3337,1439,W,185699906,184241811,185699906,184241811,100,100,100,100,3337,100,100,1439,100,100
21,9,950900,21009950900,3607,1815,W,328497280,314417914,21,9,950900,21009950900,3607,1815,W,328497280,314417914,328497280,314417914,100,100,100,100,3607,100,100,1815,100,100
21,9,951000,21009951000,3507,1532,W,178047052,168762842,21,9,951000,21009951000,3507,1532,P,178049848,168764145,178047052,168762842,100,100,100,100,3507,100,100,1532,100,100
21,11,970100,21011970100,1791,819,P,166384548,165831764,21,11,970100,21011970100,1791,816,W,166351276,165798492,166351276,165798492,99.98,99.98,100,100,1791,100,100,816,99.63,100
21,11,970100,21011970100,1791,819,P,166384548,165831764,21,11,970200,21011970200,6192,2891,P,337174291,336190684,33272,33272,0.02,0.02,0.01,0.01,0,0,0,3,0.37,0.1
21,11,970200,21011970200,6192,2888,P,337141490,336157883,21,11,970200,21011970200,6192,2891,P,337174291,336190684,337141019,336157412,100,100,99.99,99.99,6192,100,100,2888,100,99.9
21,11,970200,21011970200,6192,2888,P,337141490,336157883,21,11,970300,21011970300,3608,1698,P,232042333,220078635,471,471,0,0,0,0,0,0,0,0,0,0
21,11,970300,21011970300,3608,1698,W,232041862,220078164,21,11,970300,21011970300,3608,1698,P,232042333,220078635,232041862,220078164,100,100,100,100,3608,100,100,1698,100,100
21,13,960100,21013960100,2564,1224,W,212170357,211637887,21,13,960100,21013960100,2564,1224,P,212170380,211637887,212170357,211637887,100,100,100,100,2564,100,100,1224,100,100
21,13,960200,21013960200,5150,2432,P,124472962,123852093,21,13,960200,21013960200,5150,2432,P,124469640,123848771,124467826,123846957,100,100,100,100,5150,100,100,2432,100,100
21,13,960200,21013960200,5150,2432,P,124472962,123852093,21,13,960300,21013960300,2381,1047,P,88119481,87158067,5136,5136,0,0,0.01,0.01,0,0,0,0,0,0
