79972017798080010113101804546             7750002414945959000     4147     1872Census Tract 9590 (part)                                                                                                                                                   
79872017798080010113101804546             9999999999999          31138    13435Remainder of San Sebastián Municipio                                                                                                                                       
79972017798080010113101804546             9999999999999958500     4956     2153Census Tract 9585                                                                                                                                                          
79972017798080010113101804546             9999999999999958700     4795     2060Census Tract 9587 (part)                                                                                                                                                   
79972017798080010113101804546             9999999999999958800     6666     2721Census Tract 9588                                                                                                                                                          
79972017798080010113101804546             9999999999999959000        1        1Census Tract 9590 (part)                                                                                                                                                   
79972017798080010113101804546             9999999999999959200     5786     2532Census Tract 9592                                                                                                                                                          
79972017798080010113101804546             9999999999999959300     3663     1601Census Tract 9593 (part)                                                                                                                                                   
79972017798080010113101804546             9999999999999959500     5271     2367Census Tract 9595                                                                                                                                                          
795720177980800102                                              132499    60451Aguadilla, Isabela & Quebradillas Municipios--Carr 2 (Noroeste) PUMA                                                                                                       
79672017798080010200501804482                                    60949    28430Aguadilla Municipio                                                                                                                                                        
79872017798080010200501804482             0074502415289          13310     7479Aguadilla zona urbana                                                                                                                                                      
79972017798080010200501804482             0074502415289400600     2869     1364Census Tract 4006                                                                                                                                                          
79972017798080010200501804482             0074502415289400700     2896     1517Census Tract 4007                                                                                                                                                          
79972017798080010200501804482             0074502415289400800     1846     1418Census Tract 4008                                                                                                                                                          
79972017798080010200501804482             0074502415289400900     2357     1231Census Tract 4009                                                                                                                                                          
79972017798080010200501804482             0074502415289401000     1781     1169Census Tract 4010                                                                                                                                                          
79972017798080010200501804482             0074502415289401100     1520      756Census Tract 4011                                                                                                                                                          
79972017798080010200501804482             0074502415289401200       41       24Census Tract 4012 (part)                                                                                                                                                   
79872017798080010200501804482             0968902415315           3334     1520Cabán comunidad                                                                                                                                                            
79972017798080010200501804482             0968902415315401301     3334     1520Census Tract 4013.01 (part)                                                                                                                                                
79872017798080010200501804482             6859902414922           1351      631Rafael Hernández comunidad                                                                                                                                                 
79972017798080010200501804482             6859902414922401401     1351      631Census Tract 4014.01 (part)                                                                                                                                                
79872017798080010200501804482             7560802414937           1942      900San Antonio comunidad                                                                                                                                                      
79972017798080010200501804482             7560802414937400100     1942      900Census Tract 4001 (part)                                                                                                                                                   
79872017798080010200501804482             9999999999999          41012    17900Remainder of Aguadilla Municipio                                                                                                                                           
79972017798080010200501804482             9999999999999400100     3651     1628Census Tract 4001 (part)                                                                                                                                                   
79972017798080010200501804482             9999999999999400300     3687     1797Census Tract 4003                                                                                                                                                          
79972017798080010200501804482             9999999999999400400     4519     1939Census Tract 4004                                                                                                                                                          
79972017798080010200501804482             9999999999999400501     3614     1656Census Tract 4005.01                                                                                                                                                       
79972017798080010200501804482             9999999999999400502     6064     2544Census Tract 4005.02                                                                                                                                                       
79972017798080010200501804482             9999999999999401200     4102     1839Census Tract 4012 (part)                                                                                                                                                   
79972017798080010200501804482             9999999999999401301     1094      505Census Tract 4013.01 (part)                                                                                                                                                
79972017798080010200501804482             9999999999999401302     6267     2822Census Tract 4013.02                                                                                                                                                       
79972017798080010200501804482             9999999999999401401     3128     1046Census Tract 4014.01 (part)                                                                                                                                                
79972017798080010200501804482             9999999999999401402     4886     2124Census Tract 4014.02                                                                                                                                                       
79972017798080010200501804482             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
79672017798080010207101804516                                    45631    21267Isabela Municipio                                                                                                                                                          
79872017798080010207101804516             3647802415380          11255     5675Isabela zona urbana                                                                                                                                                        
79972017798080010207101804516             3647802415380410200     3120     1590Census Tract 4102                                                                                                                                                          
79972017798080010207101804516             3647802415380410300     2805     1686Census Tract 4103 (part)                                                                                                                                                   
79972017798080010207101804516             3647802415380410402     1346      649Census Tract 4104.02 (part)                                                                                                                                                
79972017798080010207101804516             3647802415380410500     3984     1750Census Tract 4105 (part)                                                                                                                                                   
79972017798080010207101804516             3647802415380990000        0        0Census Tract 9900 (part)                                                                                                                                                   
79872017798080010207101804516             5488202414884           1583      731Mora comunidad                                                                                                                                                             
79972017798080010207101804516             5488202414884410701     1583      731Census Tract 4107.01 (part)                                                                                                                                                
79872017798080010207101804516             9999999999999          32793    14861Remainder of Isabela Municipio                                                                                                                                             
79972017798080010207101804516             9999999999999410100     5910     2587Census Tract 4101                                                                                                                                                          
79972017798080010207101804516             9999999999999410300        0        0Census Tract 4103 (part)                                                                                                                                                   
79972017798080010207101804516             9999999999999410401     3632     2189Census Tract 4104.01                                                                                                                                                       
79972017798080010207101804516             9999999999999410402     6637     2906Census Tract 4104.02 (part)                                                                                                                                                
79972017798080010207101804516             9999999999999410500     2353     1047Census Tract 4105 (part)                                                                                                                                                   
79972017798080010207101804516             9999999999999410600     5478     2428Census Tract 4106                                                                                                                                                          
79972017798080010207101804516             9999999999999410701     1158      482Census Tract 4107.01 (part)                                                                                                                                                
79972017798080010207101804516             9999999999999410702     7625     3222Census Tract 4107.02                                                                                                                                                       
79972017798080010207101804516             9999999999999990000        0        0Census Tract 9900 (part)                                                                                                                                                   
79672017798080010211501804538                                    25919    10754Quebradillas Municipio                                                                                                                                                     
