79901017797750010005900161555             9999999999999973500     1082      491Census Tract 9735 (part)                                                                                                                                                   
79901017797750010005900161555             9999999999999973600     1149      531Census Tract 9736 (part)                                                                                                                                                   
79901017797750010005900161555             9999999999999973700     4598     2117Census Tract 9737 (part)                                                                                                                                                   
79601017797750010007700161564                                    92709    43791Lauderdale County                                                                                                                                                          
79801017797750010007700161564             0175602405149            282      156Anderson town                                                                                                                                                              
79901017797750010007700161564             0175602405149011801      282      156Census Tract 118.01 (part)                                                                                                                                                 
79801017797750010007700161564             2689602403619          39319    19299Florence city                                                                                                                                                              
79901017797750010007700161564             2689602403619010100     1959      616Census Tract 101 (part)                                                                                                                                                    
79901017797750010007700161564             2689602403619010200     1953     1305Census Tract 102 (part)                                                                                                                                                    
79901017797750010007700161564             2689602403619010300     1513      864Census Tract 103 (part)                                                                                                                                                    
79901017797750010007700161564             2689602403619010400     2871     1507Census Tract 104                                                                                                                                                           
79901017797750010007700161564             2689602403619010600     2740     1611Census Tract 106                                                                                                                                                           
79901017797750010007700161564             2689602403619010700     2098      916Census Tract 107                                                                                                                                                           
79901017797750010007700161564             2689602403619010800     3587     1625Census Tract 108 (part)                                                                                                                                                    
79901017797750010007700161564             2689602403619010900     7043     3522Census Tract 109 (part)                                                                                                                                                    
79901017797750010007700161564             2689602403619011000     4612     2359Census Tract 110                                                                                                                                                           
79901017797750010007700161564             2689602403619011101     3741     1533Census Tract 111.01 (part)                                                                                                                                                 
79901017797750010007700161564             2689602403619011102     3620     1774Census Tract 111.02 (part)                                                                                                                                                 
79901017797750010007700161564             2689602403619011200      136       50Census Tract 112 (part)                                                                                                                                                    
79901017797750010007700161564             2689602403619011501     3406     1599Census Tract 115.01 (part)                                                                                                                                                 
79901017797750010007700161564             2689602403619011502       40       18Census Tract 115.02 (part)                                                                                                                                                 
79801017797750010007700161564             3978402405945           1108      499Killen town                                                                                                                                                                
79901017797750010007700161564             3978402405945011603      459      209Census Tract 116.03 (part)                                                                                                                                                 
79901017797750010007700161564             3978402405945011604      649      290Census Tract 116.04 (part)                                                                                                                                                 
79801017797750010007700161564             4264002406013            735      376Lexington town                                                                                                                                                             
79901017797750010007700161564             4264002406013011700      735      376Census Tract 117 (part)                                                                                                                                                    
79801017797750010007700161564             6621602407235           1257      639Rogersville town                                                                                                                                                           
79901017797750010007700161564             6621602407235011801      166       75Census Tract 118.01 (part)                                                                                                                                                 
79901017797750010007700161564             6621602407235011802     1091      564Census Tract 118.02 (part)                                                                                                                                                 
79801017797750010007700161564             6753602407266            413      185St. Florian town                                                                                                                                                           
79901017797750010007700161564             6753602407266010900       24        9Census Tract 109 (part)                                                                                                                                                    
79901017797750010007700161564             6753602407266011501      219       99Census Tract 115.01 (part)                                                                                                                                                 
79901017797750010007700161564             6753602407266011502      170       77Census Tract 115.02 (part)                                                                                                                                                 
79801017797750010007700161564             7758002402943           3247     1506Underwood-Petersville CDP                                                                                                                                                  
79901017797750010007700161564             7758002402943011101     2079      938Census Tract 111.01 (part)                                                                                                                                                 
79901017797750010007700161564             7758002402943011102      845      430Census Tract 111.02 (part)                                                                                                                                                 
79901017797750010007700161564             7758002402943011502      323      138Census Tract 115.02 (part)                                                                                                                                                 
79801017797750010007700161564             8006402406837            203      152Waterloo town                                                                                                                                                              
79901017797750010007700161564             8006402406837011300      203      152Census Tract 113 (part)                                                                                                                                                    
79801017797750010007700161564             9999999999999          46145    20979Remainder of Lauderdale County                                                                                                                                             
79901017797750010007700161564             9999999999999010100        0        0Census Tract 101 (part)                                                                                                                                                    
79901017797750010007700161564             9999999999999010200        0        0Census Tract 102 (part)                                                                                                                                                    
79901017797750010007700161564             9999999999999010300        0        0Census Tract 103 (part)                                                                                                                                                    
79901017797750010007700161564             9999999999999010800      210       95Census Tract 108 (part)                                                                                                                                                    
79901017797750010007700161564             9999999999999010900       14        5Census Tract 109 (part)                                                                                                                                                    
