79904017797770010201300037026             4600002411087420209     2261      903Census Tract 4202.09 (part)                                                                                                                                                
79904017797770010201300037026             4600002411087420210     5049     2128Census Tract 4202.10                                                                                                                                                       
79904017797770010201300037026             4600002411087420211     4648     1769Census Tract 4202.11                                                                                                                                                       
79904017797770010201300037026             4600002411087420212     2825     1643Census Tract 4202.12                                                                                                                                                       
79904017797770010201300037026             4600002411087420215     1760      661Census Tract 4202.15                                                                                                                                                       
79904017797770010201300037026             4600002411087420216     3889     2263Census Tract 4202.16                                                                                                                                                       
79904017797770010201300037026             4600002411087420301     2224      730Census Tract 4203.01                                                                                                                                                       
79904017797770010201300037026             4600002411087420302     4939     1667Census Tract 4203.02                                                                                                                                                       
79904017797770010201300037026             4600002411087420303     4139     1383Census Tract 4203.03                                                                                                                                                       
79904017797770010201300037026             4600002411087420304     1081      378Census Tract 4203.04                                                                                                                                                       
79904017797770010201300037026             4600002411087420401     4654     1844Census Tract 4204.01 (part)                                                                                                                                                
79904017797770010201300037026             4600002411087420402     1614      514Census Tract 4204.02 (part)                                                                                                                                                
79904017797770010201300037026             4600002411087420501     6278     2642Census Tract 4205.01                                                                                                                                                       
79904017797770010201300037026             4600002411087420503     3430     1414Census Tract 4205.03                                                                                                                                                       
79904017797770010201300037026             4600002411087420504     3238     1310Census Tract 4205.04                                                                                                                                                       
79904017797770010201300037026             4600002411087420602     4746     1702Census Tract 4206.02                                                                                                                                                       
79904017797770010201300037026             4600002411087420603     3682     1355Census Tract 4206.03                                                                                                                                                       
79904017797770010201300037026             4600002411087420604     4273     1644Census Tract 4206.04                                                                                                                                                       
79904017797770010201300037026             4600002411087420704     4910     1749Census Tract 4207.04                                                                                                                                                       
79904017797770010201300037026             4600002411087420705     3569     1117Census Tract 4207.05                                                                                                                                                       
79904017797770010201300037026             4600002411087420706     4300     1467Census Tract 4207.06                                                                                                                                                       
79904017797770010201300037026             4600002411087420800     4745     1842Census Tract 4208                                                                                                                                                          
79904017797770010201300037026             4600002411087420901     3158     1232Census Tract 4209.01                                                                                                                                                       
79904017797770010201300037026             4600002411087420902     3363     1272Census Tract 4209.02                                                                                                                                                       
79904017797770010201300037026             4600002411087421001     3556     1900Census Tract 4210.01                                                                                                                                                       
79904017797770010201300037026             4600002411087421002     2646     1627Census Tract 4210.02                                                                                                                                                       
79904017797770010201300037026             4600002411087421101     3878     1744Census Tract 4211.01 (part)                                                                                                                                                
79904017797770010201300037026             4600002411087421102     5280     2325Census Tract 4211.02                                                                                                                                                       
79904017797770010201300037026             4600002411087421201     3464     1923Census Tract 4212.01 (part)                                                                                                                                                
79904017797770010201300037026             4600002411087421202     3764     1619Census Tract 4212.02                                                                                                                                                       
