FIPS,year,population
1073,1999,657422
12031,1999,738483
18097,1999,810946
21111,1999,672900
26081,1999,550388
29095,1999,654484
29189,1999,996181
29510,1999,333960
31055,1999,446277
37081,1999,391380
37119,1999,648400
37183,1999,586940
39049,1999,1027821
39061,1999,840443
39113,1999,565866
40109,1999,636539
40143,1999,548296
45045,1999,358936
47037,1999,530050
47093,1999,376039
47157,1999,873000
51760,1999,189700
1073,2000,662033
12031,2000,779800
18097,2000,860832
21111,2000,694399
26081,2000,576178
29095,2000,655709
29189,2000,1016178
29510,2000,347144
31055,2000,464701
37081,2000,422324
37119,2000,700458
37183,2000,633267
39049,2000,1072018
39061,2000,844124
39113,2000,558522
40109,2000,661769
40143,2000,563748
45045,2000,380949
47037,2000,570439
47093,2000,382887
47157,2000,898211
51760,2000,196782
1073,2001,660197
12031,2001,790681
18097,2001,865662
21111,2001,697159
26081,2001,581224
29095,2001,657012
29189,2001,1016243
29510,2001,343243
31055,2001,468125
37081,2001,428381
37119,2001,720171
37183,2001,656819
39049,2001,1082938
39061,2001,840335
39113,2001,555536
40109,2001,664836
40143,2001,566175
45045,2001,385780
47037,2001,574119
47093,2001,385823
47157,2001,899345
51760,2001,197575
1073,2002,657518
12031,2002,800532
18097,2002,866210
21111,2002,699810
26081,2002,584940
29095,2002,658765
29189,2002,1014359
29510,2002,338457
31055,2002,471866
37081,2002,432068
37119,2002,736422
37183,2002,676392
39049,2002,1088693
39061,2002,832390
39113,2002,553170
40109,2002,671120
40143,2002,569170
45045,2002,390197
47037,2002,574215
47093,2002,389443
47157,2002,902634
51760,2002,197513
1073,2003,657513
12031,2003,809633
18097,2003,868576
21111,2003,703970
26081,2003,587790
29095,2003,658914
29189,2003,1011678
29510,2003,334893
31055,2003,476701
37081,2003,436327
37119,2003,753991
37183,2003,695746
39049,2003,1095250
39061,2003,825139
39113,2003,551742
40109,2003,674571
40143,2003,568406
45045,2003,394242
47037,2003,577231
47093,2003,394263
47157,2003,906733
51760,2003,197306
1073,2004,656023
12031,2004,820070
18097,2004,870378
21111,2004,706828
26081,2004,589554
29095,2004,658307
29189,2004,1007813
29510,2004,330988
31055,2004,482075
37081,2004,440597
37119,2004,772949
37183,2004,716336
39049,2004,1099603
39061,2004,817306
39113,2004,549713
40109,2004,677742
40143,2004,566140
45045,2004,399319
47037,2004,583013
47093,2004,398307
47157,2004,909643
51760,2004,196878
1073,2005,654919
12031,2005,828988
18097,2005,873310
21111,2005,710018
26081,2005,592210
29095,2005,658592
29189,2005,1004109
29510,2005,324945
31055,2005,488114
37081,2005,448192
37119,2005,798701
37183,2005,746048
39049,2005,1105497
39061,2005,810352
39113,2005,546979
40109,2005,683299
40143,2005,568199
45045,2005,405608
47037,2005,589787
47093,2005,404234
47157,2005,913201
51760,2005,197465
1073,2006,655893
12031,2006,842098
18097,2006,878515
21111,2006,715149
26081,2006,595191
29095,2006,660539
29189,2006,1002050
29510,2006,320131
31055,2006,493757
37081,2006,458792
37119,2006,831507
37183,2006,784038
39049,2006,1115924
39061,2006,804913
39113,2006,543620
40109,2006,690153
40143,2006,575014
45045,2006,415957
47037,2006,597597
47093,2006,411785
47157,2006,920106
51760,2006,198618
1073,2007,655163
12031,2007,851033
18097,2007,883591
21111,2007,723040
26081,2007,598077
29095,2007,662995
29189,2007,999389
29510,2007,317959
31055,2007,498743
37081,2007,468466
