zip,county,res_ratio,bus_ratio,oth_ratio,tot_ratio
36006,01021,0.288433382,0.466666667,0.444444444,0.294200849
36017,01005,1.000000000,1.000000000,1.000000000,1.000000000
36032,01013,0.253628724,0.142857143,0.947735192,0.372405372
36033,01013,0.977263332,0.976470588,1.000000000,0.980269990
36037,01013,0.996863155,0.997931748,1.000000000,0.997036024
36054,01051,0.999259076,0.998632011,1.000000000,0.999210823
36069,01101,1.000000000,1.000000000,1.000000000,1.000000000
36117,01101,1.000000000,1.000000000,1.000000000,1.000000000
36206,01015,1.000000000,1.000000000,1.000000000,1.000000000
36251,01027,1.000000000,0.972027972,1.000000000,0.998922414
36264,01111,0.075282051,0.018372703,0.024096386,0.070425173
36268,01121,0.991261797,1.000000000,1.000000000,0.991435423
36276,01111,0.697819315,0.704545455,1.000000000,0.699625468
36344,01061,1.000000000,1.000000000,1.000000000,1.000000000
36353,01045,0.240036232,0.250000000,0.000000000,0.239894552
36420,01039,0.990567386,0.996862745,1.000000000,0.991645781
36908,01023,1.000000000,1.000000000,1.000000000,1.000000000
71671,05025,0.047640861,0.006880734,0.045454545,0.043953776
71701,05103,0.984398217,0.995183044,1.000000000,0.985459741
71801,05057,1.000000000,1.000000000,1.000000000,1.000000000
71837,05091,1.000000000,1.000000000,1.000000000,1.000000000
71842,05133,1.000000000,1.000000000,1.000000000,1.000000000
71929,05059,0.999631132,1.000000000,1.000000000,0.999651203
71953,05113,0.989260585,1.000000000,1.000000000,0.990289095
72020,05145,0.447186575,0.566037736,1.000000000,0.451535509
72040,05117,1.000000000,1.000000000,1.000000000,1.000000000
72064,05117,1.000000000,1.000000000,1.000000000,1.000000000
72081,05145,0.999147122,1.000000000,1.000000000,0.999176785
72103,05125,0.599486887,0.244582043,0.210526316,0.581943880
72114,05119,1.000000000,1.000000000,1.000000000,1.000000000
72116,05119,1.000000000,1.000000000,1.000000000,1.000000000
72131,05023,0.748112833,0.957142857,1.000000000,0.754243827
72150,05053,0.986477234,1.000000000,1.000000000,0.987627251
72202,05119,1.000000000,1.000000000,1.000000000,1.000000000
72207,05119,1.000000000,1.000000000,1.000000000,1.000000000
72326,05123,0.864701436,0.936170213,1.000000000,0.867540029
72443,05055,1.000000000,1.000000000,1.000000000,1.000000000
72611,05015,0.559423770,0.296296296,0.995049505,0.635593220
72626,05005,1.000000000,1.000000000,1.000000000,1.000000000
72645,05129,0.806920415,0.812500000,1.000000000,0.807508532
72658,05005,1.000000000,1.000000000,1.000000000,1.000000000
72703,05143,0.996379944,1.000000000,1.000000000,0.997015058
72756,05007,0.995417202,0.999495714,1.000000000,0.995897588
72762,05143,0.875978326,0.929530201,0.988074957,0.883769465
72802,05115,1.000000000,1.000000000,1.000000000,1.000000000
72827,05149,1.000000000,0.000000000,1.000000000,1.000000000
72855,05083,0.995961479,1.000000000,1.000000000,0.996369729
72936,05131,1.000000000,1.000000000,1.000000000,1.000000000
72937,05131,1.000000000,1.000000000,1.000000000,1.000000000
80010,08001,0.472586374,0.598906108,0.605150215,0.487552815
80021,08059,0.692698302,0.484530387,0.633193863,0.671363174
80026,08013,1.000000000,1.000000000,1.000000000,1.000000000
80112,08035,0.139967962,0.121961442,0.205559620,0.140144880
80204,08031,1.000000000,0.999597424,1.000000000,0.999947949
80209,08031,1.000000000,1.000000000,1.000000000,1.000000000
80215,08059,1.000000000,1.000000000,1.000000000,1.000000000
80223,08031,1.000000000,1.000000000,1.000000000,1.000000000
80435,08117,1.000000000,1.000000000,1.000000000,1.000000000
80526,08069,1.000000000,1.000000000,1.000000000,1.000000000
80634,08123,1.000000000,1.000000000,1.000000000,1.000000000
80701,08087,0.996495141,1.000000000,0.994366197,0.996751929
80759,08125,0.991141732,1.000000000,0.978723404,0.991735537
80817,08041,0.991246707,1.000000000,1.000000000,0.991813702
80831,08041,0.994506518,1.000000000,0.989247312,0.994653359
80840,08041,1.000000000,1.000000000,1.000000000,1.000000000
80905,08041,1.000000000,1.000000000,1.000000000,1.000000000
81211,08015,1.000000000,1.000000000,1.000000000,1.000000000
81230,08051,0.998358454,1.000000000,1.000000000,0.998670855
81321,08083,1.000000000,1.000000000,1.000000000,1.000000000
81638,08081,0.947368421,0.000000000,1.000000000,0.948275862
85008,04013,1.000000000,1.000000000,1.000000000,1.000000000
85018,04013,1.000000000,1.000000000,1.000000000,1.000000000
85036,04013,1.000000000,1.000000000,1.000000000,1.000000000
85037,04013,1.000000000,1.000000000,1.000000000,1.000000000
85042,04013,1.000000000,1.000000000,1.000000000,1.000000000
85051,04013,1.000000000,1.000000000,1.000000000,1.000000000
85204,04013,1.000000000,1.000000000,1.000000000,1.000000000
85205,04013,1.000000000,1.000000000,1.000000000,1.000000000
85207,04013,1.000000000,1.000000000,1.000000000,1.000000000
85208,04013,1.000000000,1.000000000,1.000000000,1.000000000
85226,04013,1.000000000,1.000000000,1.000000000,1.000000000
85254,04013,1.000000000,1.000000000,1.000000000,1.000000000
85259,04013,1.000000000,1.000000000,1.000000000,1.000000000
85260,04013,1.000000000,1.000000000,1.000000000,1.000000000
85296,04013,1.000000000,1.000000000,1.000000000,1.000000000
85302,04013,1.000000000,1.000000000,1.000000000,1.000000000
85306,04013,1.000000000,1.000000000,1.000000000,1.000000000
85331,04013,1.000000000,1.000000000,1.000000000,1.000000000
85335,04013,1.000000000,1.000000000,1.000000000,1.000000000
85339,04013,1.000000000,1.000000000,1.000000000,1.000000000
85340,04013,1.000000000,1.000000000,1.000000000,1.000000000
85351,04013,1.000000000,1.000000000,1.000000000,1.000000000
85356,04027,1.000000000,1.000000000,1.000000000,1.000000000
85363,04013,1.000000000,1.000000000,1.000000000,1.000000000
85375,04013,1.000000000,1.000000000,1.000000000,1.000000000
85392,04013,1.000000000,1.000000000,1.000000000,1.000000000
85395,04013,1.000000000,1.000000000,1.000000000,1.000000000
85610,04003,1.000000000,1.000000000,1.000000000,1.000000000
85743,04019,1.000000000,1.000000000,1.000000000,1.000000000
85935,04017,1.000000000,1.000000000,1.000000000,1.000000000
86005,04005,1.000000000,1.000000000,1.000000000,1.000000000
86046,04005,0.999745223,1.000000000,1.000000000,0.999769426
86314,04025,1.000000000,1.000000000,1.000000000,1.000000000
86333,04025,1.000000000,1.000000000,1.000000000,1.000000000
86440,04015,1.000000000,1.000000000,1.000000000,1.000000000
86442,04015,1.000000000,1.000000000,1.000000000,1.000000000
90016,06037,1.000000000,1.000000000,1.000000000,1.000000000
90018,06037,1.000000000,1.000000000,1.000000000,1.000000000
90026,06037,1.000000000,1.000000000,1.000000000,1.000000000
90032,06037,1.000000000,1.000000000,1.000000000,1.000000000
90035,06037,1.000000000,1.000000000,1.000000000,1.000000000
90079,06037,1.000000000,1.000000000,1.000000000,1.000000000
90210,06037,1.000000000,1.000000000,1.000000000,1.000000000
90212,06037,1.000000000,1.000000000,1.000000000,1.000000000
90254,06037,1.000000000,1.000000000,1.000000000,1.000000000
90255,06037,1.000000000,1.000000000,1.000000000,1.000000000
90274,06037,1.000000000,1.000000000,1.000000000,1.000000000
90401,06037,1.000000000,1.000000000,1.000000000,1.000000000
90403,06037,1.000000000,1.000000000,1.000000000,1.000000000
90405,06037,1.000000000,1.000000000,1.000000000,1.000000000
90603,06037,1.000000000,1.000000000,1.000000000,1.000000000
90605,06037,1.000000000,1.000000000,1.000000000,1.000000000
90620,06059,1.000000000,1.000000000,1.000000000,1.000000000
90680,06059,1.000000000,1.000000000,1.000000000,1.000000000
90740,06059,1.000000000,1.000000000,1.000000000,1.000000000
90815,06037,1.000000000,1.000000000,1.000000000,1.000000000
91006,06037,1.000000000,1.000000000,1.000000000,1.000000000
91108,06037,1.000000000,1.000000000,1.000000000,1.000000000
91302,06037,1.000000000,1.000000000,1.000000000,1.000000000
91321,06037,1.000000000,1.000000000,1.000000000,1.000000000
91344,06037,1.000000000,1.000000000,1.000000000,1.000000000
91362,06037,0.029164012,0.364154786,0.168037603,0.083118224
91402,06037,1.000000000,1.000000000,1.000000000,1.000000000
91405,06037,1.000000000,1.000000000,1.000000000,1.000000000
91730,06071,1.000000000,1.000000000,1.000000000,1.000000000
91744,06037,1.000000000,1.000000000,1.000000000,1.000000000
91748,06037,1.000000000,1.000000000,1.000000000,1.000000000
91754,06037,1.000000000,1.000000000,1.000000000,1.000000000
91762,06071,1.000000000,1.000000000,1.000000000,1.000000000
91765,06037,1.000000000,1.000000000,1.000000000,1.000000000
91790,06037,1.000000000,1.000000000,1.000000000,1.000000000
91901,06073,1.000000000,1.000000000,1.000000000,1.000000000
91945,06073,1.000000000,1.000000000,1.000000000,1.000000000
92011,06073,1.000000000,1.000000000,1.000000000,1.000000000
92019,06073,1.000000000,1.000000000,1.000000000,1.000000000
92024,06073,1.000000000,1.000000000,1.000000000,1.000000000
92057,06073,1.000000000,1.000000000,1.000000000,1.000000000
92065,06073,1.000000000,1.000000000,1.000000000,1.000000000
92105,06073,1.000000000,1.000000000,1.000000000,1.000000000
92115,06073,1.000000000,1.000000000,1.000000000,1.000000000
92116,06073,1.000000000,1.000000000,1.000000000,1.000000000
92119,06073,1.000000000,1.000000000,1.000000000,1.000000000
92127,06073,1.000000000,1.000000000,1.000000000,1.000000000
92154,06073,1.000000000,1.000000000,1.000000000,1.000000000
92173,06073,1.000000000,1.000000000,1.000000000,1.000000000
92236,06065,1.000000000,1.000000000,1.000000000,1.000000000
92251,06025,1.000000000,1.000000000,1.000000000,1.000000000
92345,06071,1.000000000,1.000000000,1.000000000,1.000000000
92373,06071,0.990658200,0.998168498,0.995241872,0.991777228
92410,06071,1.000000000,1.000000000,1.000000000,1.000000000
92411,06071,1.000000000,1.000000000,1.000000000,1.000000000
92504,06065,1.000000000,1.000000000,1.000000000,1.000000000
92509,06065,0.998565143,0.989606533,0.996563574,0.997985725
92530,06065,1.000000000,1.000000000,1.000000000,1.000000000
92555,06065,1.000000000,1.000000000,1.000000000,1.000000000
92584,06065,1.000000000,1.000000000,1.000000000,1.000000000
92595,06065,1.000000000,1.000000000,1.000000000,1.000000000
92627,06059,1.000000000,1.000000000,1.000000000,1.000000000
92628,06059,1.000000000,1.000000000,1.000000000,1.000000000
92673,06059,1.000000000,1.000000000,1.000000000,1.000000000
92707,06059,1.000000000,1.000000000,1.000000000,1.000000000
92708,06059,1.000000000,1.000000000,1.000000000,1.000000000
92801,06059,1.000000000,1.000000000,1.000000000,1.000000000
92831,06059,1.000000000,1.000000000,1.000000000,1.000000000
92867,06059,1.000000000,1.000000000,1.000000000,1.000000000
92869,06059,1.000000000,1.000000000,1.000000000,1.000000000
92882,06065,1.000000000,1.000000000,1.000000000,1.000000000
92885,06059,1.000000000,1.000000000,1.000000000,1.000000000
93001,06111,1.000000000,1.000000000,1.000000000,1.000000000
93010,06111,1.000000000,1.000000000,1.000000000,1.000000000
93060,06111,1.000000000,1.000000000,1.000000000,1.000000000
93103,06083,1.000000000,1.000000000,1.000000000,1.000000000
93111,06083,1.000000000,1.000000000,1.000000000,1.000000000
93221,06107,1.000000000,1.000000000,1.000000000,1.000000000
93223,06107,1.000000000,1.000000000,1.000000000,1.000000000
93274,06107,0.999434229,1.000000000,1.000000000,0.999486502
93449,06079,1.000000000,1.000000000,1.000000000,1.000000000
93460,06083,1.000000000,1.000000000,1.000000000,1.000000000
93461,06079,0.991666667,1.000000000,1.000000000,0.995475113
93550,06037,1.000000000,1.000000000,1.000000000,1.000000000
93552,06037,1.000000000,1.000000000,1.000000000,1.000000000
93644,06039,1.000000000,1.000000000,1.000000000,1.000000000
93646,06019,0.962882096,0.976608187,1.000000000,0.964912281
93654,06019,0.977454957,0.978131213,0.987878788,0.977937531
93662,06019,1.000000000,1.000000000,1.000000000,1.000000000
93701,06019,1.000000000,1.000000000,1.000000000,1.000000000
93706,06019,1.000000000,1.000000000,1.000000000,1.000000000
93723,06019,1.000000000,1.000000000,1.000000000,1.000000000
93901,06053,1.000000000,1.000000000,1.000000000,1.000000000
93905,06053,1.000000000,1.000000000,1.000000000,1.000000000
94015,06081,1.000000000,1.000000000,1.000000000,1.000000000
94040,06085,1.000000000,1.000000000,1.000000000,1.000000000
94063,06081,1.000000000,1.000000000,1.000000000,1.000000000
94123,06075,1.000000000,1.000000000,1.000000000,1.000000000
94303,06081,0.499901929,0.197376640,0.517680339,0.474822501
94510,06095,1.000000000,1.000000000,1.000000000,1.000000000
94530,06013,1.000000000,1.000000000,1.000000000,1.000000000
94538,06001,1.000000000,1.000000000,1.000000000,1.000000000
94588,06001,0.985534460,1.000000000,1.000000000,0.988167700
94596,06013,1.000000000,1.000000000,1.000000000,1.000000000
94805,06013,1.000000000,1.000000000,1.000000000,1.000000000
94806,06013,1.000000000,1.000000000,1.000000000,1.000000000
94901,06041,1.000000000,1.000000000,1.000000000,1.000000000
94903,06041,1.000000000,1.000000000,1.000000000,1.000000000
94949,06041,1.000000000,1.000000000,1.000000000,1.000000000
95001,06087,1.000000000,1.000000000,1.000000000,1.000000000
95008,06085,1.000000000,1.000000000,1.000000000,1.000000000
95032,06085,1.000000000,1.000000000,1.000000000,1.000000000
95110,06085,1.000000000,1.000000000,1.000000000,1.000000000
95132,06085,1.000000000,1.000000000,1.000000000,1.000000000
95207,06077,1.000000000,1.000000000,1.000000000,1.000000000
