tract,watterson
21111000200,1
21111000300,1
21111000400,1
21111980100,0
21111001400,1
21111001500,1
21111001600,1
21111002800,1
21111003500,1
21111011002,0
21111011301,0
21111011302,0
21111011403,0
21111011404,0
21111011405,0
21111011406,0
21111011800,0
21111007400,1
21111007601,1
21111007602,1
21111007603,1
21111007700,1
21111007800,1
21111007900,1
21111008100,1
21111001000,1
21111001700,1
21111001800,1
21111002700,1
21111000700,1
21111000800,1
21111000900,1
21111001100,1
21111001200,1
21111004900,1
21111005000,1
21111005100,1
21111005200,1
21111005300,1
21111006600,1
21111011901,0
21111012001,0
21111012002,0
21111012003,0
21111011109,0
21111011110,0
21111011506,0
21111011509,0
21111011515,0
21111011516,0
21111010402,0
21111011517,0
21111011518,0
21111011519,0
21111011520,0
21111011601,0
21111011603,0
21111011604,0
21111011708,0
21111011709,0
21111006300,1
21111006800,1
21111006900,1
21111007000,1
21111007100,1
21111006400,1
21111008200,1
21111008300,1
21111008400,1
21111008500,1
21111008700,1
21111008800,1
21111011505,0
21111011508,0
21111011513,0
21111011514,0
21111011706,0
21111011707,0
21111011710,0
21111011711,0
21111011712,0
21111011713,0
21111011904,0
21111011905,0
21111011906,0
21111011907,0
21111010701,0
21111010702,0
21111010705,0
21111010706,0
21111011005,0
21111011102,0
21111011106,0
21111011111,0
21111011112,0
21111011113,0
21111011114,0
21111007501,1
21111007502,0
21111010004,0
21111010005,0
21111010006,0
21111010007,0
21111010008,0
21111010102,0
21111010103,0
21111010104,0
21111010307,0
21111010309,0
21111010311,0
21111010312,0
21111010313,0
21111010314,0
21111010315,0
21111010316,0
21111010317,0
21111010318,0
21111010319,0
21111010320,0
21111010403,0
21111010405,0
21111010406,0
21111005900,1
21111006200,1
21111006500,1
21111012203,0
21111012406,0
21111012407,0
21111012408,0
21111012410,0
21111012411,0
21111012502,0
21111012703,0
21111002100,1
21111002300,1
21111000600,1
21111002400,1
21111003000,1
21111012501,0
21111012503,0
21111012601,1
21111012603,1
21111012604,1
21111012701,1
21111012702,1
21111012801,1
21111003600,1
21111003700,1
21111003800,1
21111003900,1
21111004000,1
21111004100,1
21111004301,1
21111012802,1
21111004302,0
21111004400,0
21111004500,0
21111004600,0
21111005600,0
21111009000,0
21111009103,0
21111009105,0
21111009106,0
21111012202,0
21111012204,0
21111012301,0
21111012302,0
21111008900,1
21111009300,1
21111009400,1
21111009600,1
21111009700,1
21111010800,0
21111010901,0
21111010902,0
21111011003,0
21111011004,0
21111011200,0
21111013100,0
21111009800,1
21111009900,1
21111010001,1
21111010500,1
21111010601,1
21111010602,1
21111012103,0
21111012104,0
21111012105,0
21111012106,0
21111012107,0
21111012409,0
