GEO_ID,neighborhood
1400000US21111012406,Pleasure Ridge Park
1400000US21111012407,Pleasure Ridge Park
1400000US21111012408,Pleasure Ridge Park
1400000US21111012409,Valley Station
1400000US21111012410,Pleasure Ridge Park
1400000US21111012411,Pleasure Ridge Park
1400000US21111012501,Shively
1400000US21111012502,Pleasure Ridge Park
1400000US21111012503,Shively
1400000US21111012601,Shively
1400000US21111012603,Shively
1400000US21111012604,Shively
1400000US21111012701,Shively
1400000US21111012702,Shively
1400000US21111012703,Pleasure Ridge Park
1400000US21111012801,Shively
1400000US21111012802,South Central Louisville
1400000US21111013100,Southeast Louisville
1400000US21111980100,Airport
