GEOID20,NEIGH1,TOTPOP,HU,HH,GQ
18019050706,River Ridge,5685,2165,2069,2
18019050505,Clarksville West,1809,806,766,0
18019050705,Utica-Port of Indiana,2030,950,887,33
18043071004,Greenville-Galena North,4842,1819,1752,9
18043070700,West Street-Middle State Street,2427,1093,997,30
18043070301,Slate Run-Old Ford,2995,1536,1429,0
18043070400,Midtown-East Spring,2828,1464,1273,91
18043071003,Floyds Knobs North,7692,2920,2810,0
18043070302,Uptown-Silver Grove,3258,1599,1497,0
18043070801,State Street North-Binford Park,3389,1609,1492,117
18043070600,Silver Hills-New Albany West,2401,1066,996,91
18043070500,New Albany Downtown-West End,3061,1578,1301,304
18043070200,East End-Bicknell Park-Loop Island,1770,864,725,0
18043070802,Benn Heights-Indian Heights,4770,2133,2029,215
18043070901,Klerner Lane-McDonald Lane,6011,2700,2572,49
18061060500,Lanesville-New Middletown,5864,2437,2307,0
18043070902,Fairmont-Silver Street Park,1723,774,716,104
18043071101,Georgetown Downtown,6250,2398,2300,0
18043071200,South Floyd-Franklin Township,2038,848,801,0
18043071007,New Albany Northwest-IU Southeast,5195,2301,2168,340
18043071103,Floyds Knobs South,4632,1742,1663,7
18043071006,Charlestown Crossing-Carriage House,4548,1960,1825,142
18061060100,Palmyra-Milltown,6010,2579,2387,3
18061060300,West Central Harrison,5731,2278,2167,176
18061060201,Crandall,3574,1409,1339,13
18061060202,New Salisbury,4186,1769,1636,0
18061060602,Southwest Harrison,2769,1268,1112,25
18061060401,Corydon,5456,2413,2240,243
18061060402,Harrison Township Southeast,2282,912,860,8
18061060601,Southeast Harrison,3782,1621,1493,2
18019050305,Arctic Springs-Ewing Lane,2716,1246,1175,16
18019050504,Broadway-Veterans Parkway,3068,1398,1228,313
18019050303,Jeffersonville Midtown West,2652,1339,1196,12
18019051000,New Washington,4758,1994,1820,0
18019050200,Claysburg-Quartermaster,3404,1562,1386,463
18019050902,Charlestown East,5206,2157,1990,0
18019050100,Jeffersonville Downtown-Big Four Station,1390,921,734,154
18019050801,Borden-West Clark,7596,2964,2832,2
18019050404,Beechwood Manor-Lincoln Heights,4129,1800,1722,4
18019050605,Golfview Estates-Hidden Lakes-Meadows,5873,2594,2518,19
18019050703,Sellersburg South,6697,2732,2570,102
18019050904,Charlestown West,7013,2640,2508,182
18019050803,Memphis-Perry Crossing,6069,2370,2284,1
18019050804,Henryville,4093,1636,1554,8
18019050704,Sellersburg North,7062,2809,2698,66
18019050903,Charlestown Central,2972,1259,1173,0
18019050606,Bonenberger-Country Club Estates-Foxboro,3980,1810,1739,0
18019050403,Gateway Crossing-Little League Park,2926,1362,1190,153
18043071104,Georgetown East-Edwardsville,5083,1949,1892,83
18043071005,Chapel Creek-Cobblers Crossing,5571,1991,1966,153
18019050304,Jeffersonville Midtown Central,5918,2771,2516,15
18019050306,Port Fulton-Franklin Commons,2169,1139,1029,12
18019050401,Clarksville South-Old Clarksville,2763,1385,1247,1
18019050503,Blackiston View-Parkwood,5338,2427,2284,13
18019050603,Jeffersonville Midtown East-Vissing Park,7357,3201,3049,66
18019050604,Oak Park,6420,2732,2614,18
21211040302,Shelbyville Downtown,3314,1375,1266,79
21185030301,La Grange Northwest,4030,1501,1427,160
21111010313,Norton Commons-Wolf Pen Branch,6246,2730,2505,0
21111010406,Middletown North-Anchorage-Berrytown,6226,2721,2469,43
21111010319,Worthington,4453,2041,1933,0
21111010315,Beckley Station-Old Henry,3957,1918,1694,0
21111010316,Beckley Station-Old Henry,4978,1922,1858,0
21111011604,Seatonville-Ashville,2639,1041,998,0
21111011710,McNeely Lake West,2891,1220,1170,0
21211040403,Shelbyville East,4394,1712,1662,97
21185030200,Kentucky State Reformatory,4681,537,510,3410
21185030100,North Oldham-Westport,2426,1054,945,29
21185030801,River Bluff-West Oldham,4581,1542,1440,0
21185030501,Crestwood South-Pewee Valley South,4493,1741,1659,115
21185030601,Crestwood West-Orchard Grass Hills,6762,2345,2249,12
21185030502,South Central Oldham,5048,1738,1710,0
21185030802,Goshen,4832,1737,1657,0
21185030602,Crestwood East-Park Lake,5509,2096,2039,7
21111011708,Cedar Creek,6239,2480,2377,0
21111011518,Chenoweth Run-Old Heady,2292,785,777,0
21111010702,St. Regis Park-Hurstbourne Acres,6097,2910,2761,11
21111009900,St. Matthews North-Beechwood Village,2793,1463,1389,0
21211040102,Bagdad-Northeast Shelby,4512,1831,1709,0
21211040501,Finchville-Southwest Shelby,2496,1000,949,0
21211040402,Shelbyville South-South Central Shelby,4342,1809,1695,9
21211040101,Waddy-Southeast Shelby,3715,1504,1391,0
21111010706,Douglass Hills,3090,1549,1358,0
21111011301,Watterson Park-Poplar Hills,2425,1100,1024,0
21111011403,Edgewood-Lynnview,1944,884,838,0
21111011404,Watterson Park-Poplar Hills,3967,1775,1613,0
21111011506,Fern Creek Northeast-Fairground Road,5689,2244,2139,0
21111010102,Ormsby Village-Shelbyhurst,4172,1791,1729,0
21111010309,Springhurst,4703,2324,1975,34
21111010403,Middletown North-Anchorage-Berrytown,4532,2149,2044,42
21029020602,Hebron Estates-Fox Chase-Hillview South,1289,525,512,0
21029020101,Mount Washington Central,4388,1807,1741,78
